,Nation,Olympic,Gold,Silver,Bronze,event_count,date,label,GDP
864,People's Republic of China,beijing-2008,48,22,30,40,2008,summer,4598206091384.0
576,People's Republic of China,london-2012,38,31,22,33,2012,summer,8560547314679.28
1904,Germany,barcelona-1992,33,21,28,30,1992,summer,2123130870381.97
1149,People's Republic of China,athens-2004,32,17,14,34,2004,summer,1955347004963.27
1409,Russian Federation,sydney-2000,32,28,29,32,2000,summer,259708496267.33
575,Great Britain,london-2012,29,17,19,38,2012,summer,2662085168498.93
1132,Russian Federation,athens-2004,28,26,36,32,2004,summer,591016690742.798
1408,People's Republic of China,sydney-2000,28,16,14,28,2000,summer,1211346869605.24
302,Great Britain,rio-2016,27,23,17,33,2016,summer,2647898654635.24
1682,Russian Federation,atlanta-1996,26,21,16,28,1996,summer,391719993756.82794
314,People's Republic of China,rio-2016,26,18,26,35,2016,summer,11199145157649.2
861,Russian Federation,beijing-2008,24,13,23,35,2008,summer,1660844408499.61
574,Russian Federation,london-2012,20,19,28,35,2012,summer,2210256976945.38
1656,Germany,atlanta-1996,20,18,27,31,1996,summer,2503665193657.4
875,Great Britain,beijing-2008,19,13,19,27,2008,summer,2890564338235.29
286,Russian Federation,rio-2016,19,17,20,35,2016,summer,1283162985989.3
1126,Australia,athens-2004,17,16,17,36,2004,summer,613329776639.636
294,Germany,rio-2016,17,10,15,35,2016,summer,3477796274496.8
1693,People's Republic of China,atlanta-1996,16,22,12,27,1996,summer,863746717503.7891
1906,People's Republic of China,barcelona-1992,16,22,16,23,1992,summer,426915712711.146
863,Germany,beijing-2008,16,11,14,36,2008,summer,3752365607148.09
3088,Japan,tokyo-1964,16,5,8,23,1964,summer,81749006381.5111
1168,Japan,athens-2004,16,9,12,32,2004,summer,4815148854362.11
1433,Australia,sydney-2000,16,25,17,38,2000,summer,415446209885.072
2343,People's Republic of China,los-angeles-1984,15,8,9,17,1984,summer,259946510957.143
1653,France,atlanta-1996,15,7,15,30,1996,summer,1614245416078.98
854,Australia,beijing-2008,14,15,17,36,2008,summer,1055334825425.25
1921,Cuba,barcelona-1992,14,6,11,16,1992,summer,22085858243.2432
2345,Italy,los-angeles-1984,14,6,12,25,1984,summer,436443280912.497
1932,Spain,barcelona-1992,13,7,2,33,1992,summer,629202392003.901
2803,Japan,munich-1972,13,8,8,20,1972,summer,316393344649.993
3212,Italy,rome-1960,13,10,13,21,1960,summer,40385288344.1911
1414,France,sydney-2000,13,14,11,32,2000,summer,1368438363736.87
1410,Italy,sydney-2000,13,8,13,34,2000,summer,1141759996314.72
1434,Germany,sydney-2000,13,17,26,34,2000,summer,1949953934033.54
1674,Italy,atlanta-1996,13,10,12,31,1996,summer,1308929351236.04
1135,Germany,athens-2004,13,16,20,33,2004,summer,2819245095604.67
1424,Netherlands,sydney-2000,12,9,4,24,2000,summer,412807259996.315
304,Japan,rio-2016,12,8,21,38,2016,summer,4940158776617.16
1162,France,athens-2004,11,9,13,32,2004,summer,2124112242364.04
1440,Romania,sydney-2000,11,6,9,16,2000,summer,37438527799.5302
1426,Great Britain,sydney-2000,11,10,7,28,2000,summer,1647951278559.54
2950,Japan,mexico-city-1968,11,7,7,18,1968,summer,146601072685.511
586,Germany,london-2012,11,20,13,33,2012,summer,3543983909148.01
579,France,london-2012,11,11,13,35,2012,summer,2681416108537.39
1914,Hungary,barcelona-1992,11,12,7,23,1992,summer,38724945367.8583
1397,Cuba,sydney-2000,11,11,7,25,2000,summer,30565400000.0
2354,Japan,los-angeles-1984,10,8,14,24,1984,summer,1309740021609.74
2353,Canada,los-angeles-1984,10,18,16,26,1984,summer,355372558103.62103
289,France,rio-2016,10,18,14,38,2016,summer,2465453975282.24
2159,Bulgaria,seoul-1988,10,12,13,16,1988,summer,22555941176.4706
2073,Germany,albertville-1992,10,10,6,11,1992,summer,2123130870381.97
3103,Italy,tokyo-1964,10,10,7,20,1964,summer,63175417019.0094
1127,Italy,athens-2004,10,11,11,33,2004,summer,1798314750434.57
2640,Japan,montreal-1976,9,6,10,19,1976,summer,583142956487.974
1165,Cuba,athens-2004,9,7,11,18,2004,summer,38203000000.0
1686,Cuba,atlanta-1996,9,8,8,16,1996,summer,25017300000.0
862,Japan,beijing-2008,9,8,8,35,2008,summer,5037908465114.48
2066,Norway,albertville-1992,9,6,5,11,1992,summer,130838040067.584
1696,Australia,atlanta-1996,9,9,23,31,1996,summer,401819423368.74
1687,Ukraine,atlanta-1996,9,2,12,22,1996,summer,44558077827.135
1137,Great Britain,athens-2004,9,9,12,28,2004,summer,2398555474185.28
1161,Romania,athens-2004,8,5,6,16,2004,summer,76216441462.1442
313,Italy,rio-2016,8,12,8,32,2016,summer,1858913163927.72
3225,Australia,rome-1960,8,8,6,16,1960,summer,18593347519.3191
290,Australia,rio-2016,8,11,10,36,2016,summer,1204616439828.41
288,Netherlands,rio-2016,8,7,4,29,2016,summer,777227541581.307
2814,Australia,munich-1972,8,7,2,18,1972,summer,52003504672.8972
345,Hungary,rio-2016,8,3,4,19,2016,summer,125816640420.569
1177,Ukraine,athens-2004,8,5,9,25,2004,summer,64883060725.7003
1166,Hungary,athens-2004,8,6,3,20,2004,summer,104066609517.92801
580,Italy,london-2012,8,9,11,33,2012,summer,2072823157059.76
2547,Bulgaria,moscow-1980,8,16,17,23,1980,summer,19839230769.2308
600,Hungary,london-2012,8,4,6,23,2012,summer,127856647107.82
1924,France,barcelona-1992,8,5,16,27,1992,summer,1408724907063.2
2550,Italy,moscow-1980,8,3,4,20,1980,summer,475682506443.59
858,Italy,beijing-2008,8,9,10,33,2008,summer,2390729163615.06
1461,Hungary,sydney-2000,8,6,3,21,2000,summer,47310623887.2319
2536,Cuba,moscow-1980,8,7,5,19,1980,summer,19912889861.1111
572,Australia,london-2012,8,15,12,35,2012,summer,1538194473087.23
2380,New Zealand,los-angeles-1984,8,1,2,18,1984,summer,21665456808.0473
3217,Turkey,rome-1960,7,2,0,5,1960,summer,13995067817.5092
1667,Hungary,atlanta-1996,7,4,10,23,1996,summer,46659796772.5473
1673,Poland,atlanta-1996,7,5,5,22,1996,summer,159942880456.956
2157,Romania,seoul-1988,7,11,6,10,1988,summer,40809523809.5238
873,Ukraine,beijing-2008,7,4,11,26,2008,summer,179992405832.321
1934,Australia,barcelona-1992,7,9,11,28,1992,summer,325692532492.502
857,Netherlands,beijing-2008,7,5,4,26,2008,summer,936228211513.11
307,Spain,rio-2016,7,4,6,33,2016,summer,1237255019653.86
295,Brazil,rio-2016,7,6,6,40,2016,summer,1796186586414.45
1901,Canada,barcelona-1992,7,4,7,27,1992,summer,592387689252.916
573,Japan,london-2012,7,14,17,35,2012,summer,6203213121334.12
2947,France,mexico-city-1968,7,3,5,17,1968,summer,129847107787.88301
593,New Zealand,london-2012,6,2,5,21,2012,summer,176192886551.397
1167,Greece,athens-2004,6,6,4,35,2004,summer,240521260988.32898
585,Netherlands,london-2012,6,6,8,23,2012,summer,828946812396.788
1922,Italy,barcelona-1992,6,5,8,30,1992,summer,1315806985860.17
2070,Austria,albertville-1992,6,7,8,10,1992,summer,195078126346.10602
850,France,beijing-2008,6,15,20,30,2008,summer,2923465651091.26
2653,Cuba,montreal-1976,6,4,3,14,1976,summer,13789579902.5579
2133,France,seoul-1988,6,4,6,24,1988,summer,1023504019381.13
335,Kenya,rio-2016,6,6,1,7,2016,summer,70529014778.3251
401,Jamaica,rio-2016,6,3,2,2,2016,summer,14056908749.3505
2553,France,moscow-1980,6,5,3,14,1980,summer,703525302701.025
3083,Australia,tokyo-1964,6,2,10,21,1964,summer,23787658192.4068
2167,Italy,seoul-1988,6,4,4,24,1988,summer,888667913418.625
3064,Norway,grenoble-1968,6,6,2,8,1968,summer,10159934136.7838
938,Kenya,beijing-2008,6,4,6,5,2008,summer,35895153327.8497
1457,Poland,sydney-2000,6,5,3,21,2000,summer,171885598582.637
2949,Great Britain,mexico-city-1968,5,5,3,19,1968,summer,104702736248.084
1427,Bulgaria,sydney-2000,5,6,2,16,2000,summer,13148099185.2305
2543,Great Britain,moscow-1980,5,7,9,15,1980,summer,564947710899.3729
1394,Japan,sydney-2000,5,8,5,31,2000,summer,4887519660744.86
1957,Great Britain,barcelona-1992,5,3,12,26,1992,summer,1179659529659.53
631,Cuba,london-2012,5,3,7,15,2012,summer,73141000000.0
2939,Australia,mexico-city-1968,5,7,5,17,1968,summer,32687870982.1929
2391,Netherlands,los-angeles-1984,5,2,6,16,1984,summer,142075910370.879
1689,Spain,atlanta-1996,5,6,6,27,1996,summer,640998292394.588
881,Spain,beijing-2008,5,11,3,33,2008,summer,1635015380108.39
990,Jamaica,beijing-2008,5,4,1,4,2008,summer,13678606692.2655
2802,Italy,munich-1972,5,3,10,22,1972,summer,144780887782.205
1150,Brazil,athens-2004,5,2,3,27,2004,summer,669316239316.239
583,Ukraine,london-2012,5,4,10,28,2012,summer,175781379051.433
2347,France,los-angeles-1984,5,7,16,22,1984,summer,532648802822.187
2138,People's Republic of China,seoul-1988,5,11,12,25,1988,summer,312353631207.819
1164,Norway,athens-2004,5,0,1,13,2004,summer,264357494659.388
2297,Switzerland,calgary-1988,5,5,5,7,1988,summer,209298156700.608
328,Croatia,rio-2016,5,3,2,18,2016,summer,50714957390.5378
