id,status,plate_number,collect_time,latitude,longitude,battery_percentage,swappable_battery,last_activity_at,type_name,battery_level,meter_range,rate_plan,bike_icon_id,last_three,license_plate_number,brand,generation,operating_status,provider
ET-42O3WG5V3YGTOCVF56M7GGDHLKHFAAUYECVNVIQ,locked,XXX-KBH,2021-11-13 13:00:22.008501,37.448889,127.054193,21,False,2021-11-13T03:45:32.000Z,scooter,low,1064,"₩900 to unlock +
₩220 / 1 min",48,KBH,,lime,2.0,in_service,Lime
ET-Z2HYHFGCDJLXCIREQKDFY4JHP46C5Z7XSZDMJMY,locked,XXX-WGM,2021-11-13 13:00:22.008501,37.453365,127.051476,100,False,2021-11-13T03:36:32.000Z,scooter,high,24140,"₩900 to unlock +
₩220 / 1 min",50,WGM,,lime,2.0,in_service,Lime
ET-MZZAE67VJC3IIMVEQ4M2UIRYNP5PVBK4DSSAYXQ,locked,XXX-UQV,2021-11-13 13:00:22.008501,37.453375,127.051472,86,False,2021-11-13T03:23:02.000Z,scooter,high,17853,"₩900 to unlock +
₩220 / 1 min",50,UQV,,lime,2.0,in_service,Lime
ET-IBHNSHT5ATFT6FV3T2M4FJVZXBZTTUHGSEUHG7Q,locked,XXX-EHB,2021-11-13 13:00:22.008501,37.453382,127.051477,95,False,2021-11-13T03:45:31.000Z,scooter,high,21786,"₩900 to unlock +
₩220 / 1 min",50,EHB,,lime,2.0,in_service,Lime
ET-6LDQH6JLTCMSVGOSWK747MLPDJVXIS7CZYFQDEA,locked,XXX-BTU,2021-11-13 13:00:22.008501,37.453397,127.051459,90,False,2021-11-13T03:09:33.000Z,scooter,high,19553,"₩900 to unlock +
₩220 / 1 min",50,BTU,,lime,2.0,in_service,Lime
ET-FGDF2F44RSOE2AMJUY5PB6ABSZEJNSBISY3GAGA,locked,XXX-UCG,2021-11-13 13:00:22.008501,37.453395,127.051477,100,False,2021-11-13T03:05:02.000Z,scooter,high,24140,"₩900 to unlock +
₩220 / 1 min",50,UCG,,lime,2.0,in_service,Lime
ET-VJBBFXFVJTXNYAR2AQERMEZZV7AY3A6ECMRW75Y,locked,XXX-PVG,2021-11-13 13:00:22.008501,37.453409,127.051457,100,False,2021-11-13T03:23:05.000Z,scooter,high,24140,"₩900 to unlock +
₩220 / 1 min",50,PVG,,lime,2.0,in_service,Lime
ET-LVVZXD6W5ELEBJWHASB7MAWDUYSCIDLMLR2V5HA,locked,XXX-LLZ,2021-11-13 13:00:22.008501,37.44908,127.054373,68,False,2021-11-13T03:28:07.000Z,scooter,high,11162,"₩900 to unlock +
₩220 / 1 min",50,LLZ,,lime,2.0,in_service,Lime
ET-VHUR53ATX6CBBQF2HWKVWANXTAALP3IKSACTGTY,locked,XXX-DTR,2021-11-13 13:00:22.008501,37.449009,127.054439,92,False,2021-11-13T03:26:43.000Z,scooter,high,20432,"₩900 to unlock +
₩220 / 1 min",50,DTR,,lime,2.0,in_service,Lime
ET-PERAVQQ66TEJLEYDYGPYAMJ43IKKXPOWOXYOT2I,locked,XXX-CZT,2021-11-13 13:00:22.008501,37.448392,127.054357,45,False,2021-11-13T03:52:41.000Z,scooter,medium,4888,"₩900 to unlock +
₩220 / 1 min",49,CZT,,lime,2.0,in_service,Lime
ET-RGHQBHEWYDUX5R24GXKJZZWYZY6PPUQ3ZKGL6XI,locked,XXX-YPP,2021-11-13 13:00:22.008501,37.449238,127.055058,46,False,2021-11-13T03:21:30.000Z,scooter,medium,5108,"₩900 to unlock +
₩220 / 1 min",49,YPP,,lime,2.0,in_service,Lime
ET-DG52OWBMRW6A243DPWYFCBNBTPRJTGVW6DQ45AY,locked,XXX-XXN,2021-11-13 13:00:22.008501,37.450356,127.055172,28,False,2021-11-13T03:30:14.000Z,scooter,low,1892,"₩900 to unlock +
₩220 / 1 min",48,XXN,,lime,2.0,in_service,Lime
ET-ZJLZAAVWTRYC5X6MJ4DJVJTSSQJ6YW2IPK7PAQA,locked,XXX-554,2021-11-13 13:00:22.008501,37.448693,127.055484,92,False,2021-11-13T03:06:05.000Z,scooter,high,20432,"₩900 to unlock +
₩220 / 1 min",50,554,,lime,2.5,in_service,Lime
ET-QYOZASF4TGX6ALYZ4FYX7RBFNWMLUEMYQRM745I,locked,XXX-142,2021-11-13 13:00:22.008501,37.450151,127.055778,24,False,2021-11-13T03:32:08.000Z,scooter,low,1390,"₩900 to unlock +
₩220 / 1 min",48,142,,lime,2.5,in_service,Lime
ET-WLOYDVW7EENSZSO2E5XU6MZ2IXOZDP6LNZPYBII,locked,XXX-MSJ,2021-11-13 13:00:22.008501,37.447888,127.055243,21,False,2021-11-13T03:39:59.000Z,scooter,low,1064,"₩900 to unlock +
₩220 / 1 min",48,MSJ,,lime,2.0,in_service,Lime
ET-5JLHEUPWFXWPRA32YVAMO3FOF4MAC74BRCPNZJI,locked,XXX-JDL,2021-11-13 13:00:22.008501,37.447978,127.055336,54,False,2021-11-13T03:43:52.000Z,scooter,high,7039,"₩900 to unlock +
₩220 / 1 min",50,JDL,,lime,2.0,in_service,Lime
ET-ZQVRTHN5W4QVEM4BHB6WBTMN3DEIXIW6JPZ3AKY,locked,XXX-WXB,2021-11-13 13:00:22.008501,37.454196,127.052732,67,False,2021-11-13T03:50:24.000Z,scooter,high,10836,"₩900 to unlock +
₩220 / 1 min",50,WXB,,lime,2.0,in_service,Lime
ET-BBRE6RN33LY5SCAQXCOFBHOW234IRXPJTFHYVPA,locked,XXX-WUU,2021-11-13 13:00:22.008501,37.454207,127.052746,57,False,2021-11-13T03:10:43.000Z,scooter,high,7843,"₩900 to unlock +
₩220 / 1 min",50,WUU,,lime,2.0,in_service,Lime
ET-7EDE3PIVVO6BV66IHZZNFEN3SQT64VWJQESJ2DI,locked,XXX-KAY,2021-11-13 13:00:22.008501,37.447911,127.055338,75,False,2021-11-13T03:35:03.000Z,scooter,high,13578,"₩900 to unlock +
₩220 / 1 min",50,KAY,,lime,2.0,in_service,Lime
ET-GWGKYWVQLT6EXEUE5H6O3BHG3VPIUTK3V3LHW7Q,locked,XXX-GCW,2021-11-13 13:00:22.008501,37.447579,127.055689,66,False,2021-11-13T03:14:23.000Z,scooter,high,10515,"₩900 to unlock +
₩220 / 1 min",50,GCW,,lime,2.0,in_service,Lime
ET-YVBHJGLEFJTDRZPK6E6X363B6HWTIA52PE4T6KI,locked,XXX-JKE,2021-11-13 13:00:22.008501,37.454607,127.053353,25,False,2021-11-13T03:14:50.000Z,scooter,low,1508,"₩900 to unlock +
₩220 / 1 min",48,JKE,,lime,2.0,in_service,Lime
ET-XBWDSQ7V4GAX6N356BQILSW42IFAYCTYFBK3GVI,locked,XXX-CBR,2021-11-13 13:00:22.008501,37.451896,127.056567,44,False,2021-11-13T03:40:34.000Z,scooter,medium,4673,"₩900 to unlock +
₩220 / 1 min",49,CBR,,lime,2.0,in_service,Lime
ET-TSCQJXVD77B2NKG7PQNSFLDP7P3LP2D2YWKVFNQ,locked,XXX-RLU,2021-11-13 13:00:22.008501,37.447231,127.056098,83,False,2021-11-13T03:42:51.000Z,scooter,high,16630,"₩900 to unlock +
₩220 / 1 min",50,RLU,,lime,2.0,in_service,Lime
ET-UHW7J6T26YVKRHTSKD5K2Q447KU3P6MIXL7E26I,locked,XXX-YRF,2021-11-13 13:00:22.008501,37.450582,127.057061,82,False,2021-11-13T03:30:06.000Z,scooter,high,16231,"₩900 to unlock +
₩220 / 1 min",50,YRF,,lime,2.0,in_service,Lime
ET-IWK4ODO5A44YLSPT2ISPKD64S42EJJL7Z7KHSTY,locked,XXX-EZY,2021-11-13 13:00:22.008501,37.453767,127.055554,30,False,2021-11-13T03:12:21.000Z,scooter,medium,2172,"₩900 to unlock +
₩220 / 1 min",49,EZY,,lime,2.0,in_service,Lime
ET-TFEQWHWI75MOES77G6AWPBPSNGTGE6ZXKWH6Y7I,locked,XXX-KHS,2021-11-13 13:00:22.008501,37.453744,127.055595,54,False,2021-11-13T03:15:15.000Z,scooter,high,7039,"₩900 to unlock +
₩220 / 1 min",50,KHS,,lime,2.0,in_service,Lime
ET-AE7GMXHDSGMC6P3BQPFANN5PMVACVT6BULQLHTY,locked,XXX-BVS,2021-11-13 13:00:22.008501,37.453771,127.055655,69,False,2021-11-13T03:25:57.000Z,scooter,high,11493,"₩900 to unlock +
₩220 / 1 min",50,BVS,,lime,2.0,in_service,Lime
ET-6JZRQWEKOXQ4THMDGWOFVZGEJ3ILLUD3O4N22YI,locked,XXX-FGQ,2021-11-13 13:00:22.008501,37.453808,127.055633,86,False,2021-11-13T03:28:42.000Z,scooter,high,17853,"₩900 to unlock +
₩220 / 1 min",50,FGQ,,lime,2.0,in_service,Lime
ET-OVQNBJIHVNHGFUHOWSUROVGNBFFQV3P35UAIFMQ,locked,XXX-MLU,2021-11-13 13:00:22.008501,37.453865,127.055586,24,False,2021-11-13T03:02:11.000Z,scooter,low,1390,"₩900 to unlock +
₩220 / 1 min",48,MLU,,lime,2.0,in_service,Lime
ET-IEZWSO27UFMOD6GZCYZJUZ4SOKLTSVDZ4AJZX6Q,locked,XXX-FGG,2021-11-13 13:00:22.008501,37.447568,127.056829,61,False,2021-11-13T03:17:18.000Z,scooter,high,8982,"₩900 to unlock +
₩220 / 1 min",50,FGG,,lime,2.0,in_service,Lime
ET-UZROXWGPUSGXKT6TJSNHDEXQ2HVRAVT55PKRRYY,locked,XXX-VVR,2021-11-13 13:00:22.008501,37.447336,127.056724,40,False,2021-11-13T03:55:47.000Z,scooter,medium,3862,"₩900 to unlock +
₩220 / 1 min",49,VVR,,lime,2.0,in_service,Lime
ET-MT4OJLL7NKSVT2JAZIBBAQF4HWVN7FYGCUDFG4A,locked,XXX-ABL,2021-11-13 13:00:22.008501,37.44755,127.056897,40,False,2021-11-13T03:54:08.000Z,scooter,medium,3862,"₩900 to unlock +
₩220 / 1 min",49,ABL,,lime,2.0,in_service,Lime
ET-P26ODJYUE56WIEV2WSDS53LOFRUY3B66PP5CPNY,locked,XXX-PBF,2021-11-13 13:00:22.008501,37.454401,127.055369,75,False,2021-11-13T03:42:21.000Z,scooter,high,13578,"₩900 to unlock +
₩220 / 1 min",50,PBF,,lime,2.0,in_service,Lime
ET-QBOTPMVDZRBXBUOFXW5NVLHCL7BEAZBLHFKHSYA,locked,XXX-KUX,2021-11-13 13:00:22.008501,37.447656,127.05711,80,False,2021-11-13T03:46:38.000Z,scooter,high,15449,"₩900 to unlock +
₩220 / 1 min",50,KUX,,lime,2.0,in_service,Lime
ET-YSHQ6XQ7KLU4LPRXHK3J5Z3X5BNP7IM6AWBFSUA,locked,XXX-LTU,2021-11-13 13:00:22.008501,37.446562,127.05646,51,False,2021-11-13T03:25:59.000Z,scooter,high,6278,"₩900 to unlock +
₩220 / 1 min",50,LTU,,lime,2.0,in_service,Lime
ET-UMD34XC4HECKD7TUMTOUYQKFGW3WQNBCMMM2WTQ,locked,XXX-TYV,2021-11-13 13:00:22.008501,37.44643,127.056621,76,False,2021-11-13T03:27:51.000Z,scooter,high,13943,"₩900 to unlock +
₩220 / 1 min",50,TYV,,lime,2.0,in_service,Lime
ET-SNIE5RISG6TJXSH7KLE6DVDZS6VJRFV5DTQQYUY,locked,XXX-CTJ,2021-11-13 13:00:22.008501,37.445076,127.057366,23,False,2021-11-13T03:12:58.000Z,scooter,low,1277,"₩900 to unlock +
₩220 / 1 min",48,CTJ,,lime,2.0,in_service,Lime
ET-XE7PHMU2VGXOEAOVMN6Y3BXXDZWCPRPMCT533ZI,locked,XXX-QPU,2021-11-13 13:00:22.008501,37.445224,127.057659,32,False,2021-11-13T02:45:35.000Z,scooter,medium,6139,"₩900 to unlock +
₩220 / 1 min",49,QPU,,lime,3.0,in_service,Lime
ET-PB37DMWHJSC45OWHIALZ5FWQ2S7M4GIUBVTBTKQ,locked,XXX-ADS,2021-11-13 13:00:22.008501,37.453356,127.05912,92,False,2021-11-13T03:56:20.000Z,scooter,high,20432,"₩900 to unlock +
₩220 / 1 min",50,ADS,,lime,2.0,in_service,Lime
ET-RDRYIFAP63RNJ4H2GTR5EGSLFO6QFCEB2BATPDA,locked,XXX-QBK,2021-11-13 13:00:22.008501,37.443824,127.056526,24,False,2021-11-13T03:28:16.000Z,scooter,low,1390,"₩900 to unlock +
₩220 / 1 min",48,QBK,,lime,2.0,in_service,Lime
ET-4ONMOZ2POXMWRJWG2EUF6QWBSHR57XND6BDQMJI,locked,XXX-QEZ,2021-11-13 13:00:22.008501,37.453411,127.059237,93,False,2021-11-13T03:42:51.000Z,scooter,high,20878,"₩900 to unlock +
₩220 / 1 min",50,QEZ,,lime,2.0,in_service,Lime
ET-KDFDYBGDSHD6XVUJPWII3T2DM5OZSOSYJOT3TDI,locked,XXX-WTV,2021-11-13 13:00:22.008501,37.453609,127.059144,76,False,2021-11-13T03:23:02.000Z,scooter,high,13943,"₩900 to unlock +
₩220 / 1 min",50,WTV,,lime,2.0,in_service,Lime
ET-ROUZQTCXHDTIKS64AQFSXCT7CZ33IW66AO5CHFA,locked,XXX-QJK,2021-11-13 13:00:22.008501,37.443629,127.0564,51,False,2021-11-13T03:17:01.000Z,scooter,high,11637,"₩900 to unlock +
₩220 / 1 min",50,QJK,,lime,3.0,in_service,Lime
ET-4VSQSGTVAZA5CRLPNEOCWSOGPF2EMM5OLAUPEBI,locked,XXX-SEV,2021-11-13 13:00:22.008501,37.445632,127.05875,54,False,2021-11-13T03:47:11.000Z,scooter,high,7039,"₩900 to unlock +
₩220 / 1 min",50,SEV,,lime,2.0,in_service,Lime
ET-LNMHZCBP74O7C2W7SS5O7JEZ5QU4XXHZCMVC4KY,locked,XXX-TAB,2021-11-13 13:00:22.008501,37.445528,127.058691,63,False,2021-11-13T03:46:38.000Z,scooter,high,9581,"₩900 to unlock +
₩220 / 1 min",50,TAB,,lime,2.0,in_service,Lime
