,Rank,Country,Gold,Silber,Bronze,All
,1,미국,39,41,33,113
,2,중국,38,32,18,88
,3,일본,27,14,17,58
,4,영국,22,21,22,65
,5,러시아올림픽위원회,20,28,23,71
,6,호주,17,7,22,46
,7,네덜란드,10,12,14,36
,8,프랑스,10,12,11,33
,9,독일,10,11,16,37
,10,이탈리아,10,10,20,40
,11,캐나다,7,6,11,24
,12,브라질,7,6,8,21
,13,뉴질랜드,7,6,7,20
,14,쿠바,7,3,5,15
,15,헝가리,6,7,7,20
,16,대한민국,6,4,10,20
,17,폴란드,4,5,5,14
,18,체코,4,4,3,11
,19,케냐,4,4,2,10
,20,노르웨이,4,2,2,8
,21,자메이카,4,1,4,9
,22,스페인,3,8,6,17
,23,스웨덴,3,6,0,9
,24,스위스,3,4,6,13
,25,덴마크,3,4,4,11
,26,크로아티아,3,3,2,8
,27,이란,3,2,2,7
,28,세르비아,3,1,5,9
,29,벨기에,3,1,3,7
,30,불가리아,3,1,2,6
,31,슬로베니아,3,1,1,5
,32,우즈베키스탄,3,0,2,5
,33,조지아,2,5,1,8
,34,대만,2,4,6,12
,35,터키,2,2,9,13
,36,그리스,2,1,1,4
,36,우간다,2,1,1,4
,38,에콰도르,2,1,0,3
,39,아일랜드,2,0,2,4
,39,이스라엘,2,0,2,4
,41,카타르,2,0,1,3
,42,바하마,2,0,0,2
,42,코소보,2,0,0,2
,44,우크라이나,1,6,12,19
,45,벨라루스,1,3,3,7
,46,루마니아,1,3,0,4
,46,베네수엘라,1,3,0,4
,48,인도,1,2,4,7
,49,홍콩,1,2,3,6
,50,필리핀,1,2,1,4
,50,슬로바키아,1,2,1,4
,52,남아프리카공화국,1,2,0,3
,53,오스트리아,1,1,5,7
,54,이집트,1,1,4,6
,55,인도네시아,1,1,3,5
,56,에티오피아,1,1,2,4
,56,포르투갈,1,1,2,4
,58,튀니지,1,1,0,2
,59,에스토니아,1,0,1,2
,59,피지,1,0,1,2
,59,라트비아,1,0,1,2
,59,태국,1,0,1,2
,63,버뮤다,1,0,0,1
,63,모로코,1,0,0,1
,63,푸에르토리코,1,0,0,1
,66,콜롬비아,0,4,1,5
,67,아제르바이잔,0,3,4,7
,68,도미니카 공화국,0,3,2,5
,69,아르메니아,0,2,2,4
,70,키르기스스탄,0,2,1,3
,71,몽골,0,1,3,4
,72,아르헨티나,0,1,2,3
,72,산 마리노,0,1,2,3
,74,요르단,0,1,1,2
,74,말레이시아,0,1,1,2
,74,나이지리아,0,1,1,2
,77,바레인,0,1,0,1
,77,리투아니아,0,1,0,1
,77,나미비아,0,1,0,1
,77,북마케도니아공화국,0,1,0,1
,77,사우디 아라비아,0,1,0,1
,77,투르크메니스탄,0,1,0,1
,83,카자흐스탄,0,0,8,8
,84,멕시코,0,0,4,4
,85,핀란드,0,0,2,2
,86,보츠와나,0,0,1,1
,86,부르키나 파소,0,0,1,1
,86,가나,0,0,1,1
,86,그레나다,0,0,1,1
,86,코트디부아르,0,0,1,1
,86,쿠웨이트,0,0,1,1
,86,몰도바,0,0,1,1
,86,시리아,0,0,1,1
