Nation,Olympic,Gold,Silver,Bronze,event_count
Spain,tokyo-2020,3,8,6,36
San Marino,tokyo-2020,0,1,2,3
United States of America,tokyo-2020,39,41,33,43
Slovakia,tokyo-2020,1,2,1,12
Japan,tokyo-2020,27,13,17,46
Australia,tokyo-2020,17,7,21,40
People's Republic of China,tokyo-2020,38,32,18,41
Great Britain,tokyo-2020,22,21,22,35
ROC,tokyo-2020,20,28,22,38
Italy,tokyo-2020,10,10,20,38
Mexico,tokyo-2020,0,0,4,29
Egypt,tokyo-2020,1,1,4,23
Belarus,tokyo-2020,1,3,3,19
Islamic Republic of Iran,tokyo-2020,3,2,2,15
Switzerland,tokyo-2020,3,4,6,25
Norway,tokyo-2020,4,2,2,16
Serbia,tokyo-2020,3,1,5,15
Germany,tokyo-2020,10,11,16,36
Indonesia,tokyo-2020,1,1,3,5
Czech Republic,tokyo-2020,4,4,3,24
Mongolia,tokyo-2020,0,1,3,9
Puerto Rico,tokyo-2020,1,0,0,14
Poland,tokyo-2020,4,5,5,27
Republic of Korea,tokyo-2020,6,4,10,31
Uzbekistan,tokyo-2020,3,0,2,13
Malaysia,tokyo-2020,0,1,1,7
Slovenia,tokyo-2020,3,1,1,15
Hungary,tokyo-2020,6,7,7,24
Cuba,tokyo-2020,7,3,5,13
France,tokyo-2020,10,12,11,40
India,tokyo-2020,1,2,4,16
Denmark,tokyo-2020,3,4,4,19
Croatia,tokyo-2020,3,3,2,16
Ukraine,tokyo-2020,1,6,12,26
Oman,tokyo-2020,0,0,0,2
Argentina,tokyo-2020,0,1,2,28
Turkey,tokyo-2020,2,2,9,17
Kazakhstan,tokyo-2020,0,0,8,23
Venezuela,tokyo-2020,1,3,0,15
Lithuania,tokyo-2020,0,1,0,12
Estonia,tokyo-2020,1,0,1,14
Colombia,tokyo-2020,0,4,1,18
Azerbaijan,tokyo-2020,0,3,4,10
Peru,tokyo-2020,0,0,0,15
Pakistan,tokyo-2020,0,0,0,5
Thailand,tokyo-2020,1,0,1,14
Israel,tokyo-2020,2,0,2,19
Philippines,tokyo-2020,1,2,1,10
Austria,tokyo-2020,1,1,5,23
Chinese Taipei,tokyo-2020,2,4,6,16
Bangladesh,tokyo-2020,0,0,0,2
Afghanistan,tokyo-2020,0,0,0,2
Kosovo,tokyo-2020,2,0,0,4
Romania,tokyo-2020,1,3,0,17
Singapore,tokyo-2020,0,0,0,9
Belgium,tokyo-2020,3,1,3,25
Bhutan,tokyo-2020,0,0,0,3
Algeria,tokyo-2020,0,0,0,13
Sri Lanka,tokyo-2020,0,0,0,4
Kyrgyzstan,tokyo-2020,0,2,1,6
Bosnia and Herzegovina,tokyo-2020,0,0,0,4
Nepal,tokyo-2020,0,0,0,2
Refugee Olympic Team,tokyo-2020,0,0,0,11
Ireland,tokyo-2020,2,0,2,20
Portugal,tokyo-2020,1,1,2,19
Qatar,tokyo-2020,2,0,1,6
Kuwait,tokyo-2020,0,0,1,3
Cyprus,tokyo-2020,0,0,0,3
Morocco,tokyo-2020,1,0,0,16
Bahrain,tokyo-2020,0,1,0,4
Senegal,tokyo-2020,0,0,0,6
New Zealand,tokyo-2020,7,6,7,25
Chile,tokyo-2020,0,0,0,20
Guatemala,tokyo-2020,0,0,0,10
Lebanon,tokyo-2020,0,0,0,3
Finland,tokyo-2020,0,0,2,11
Bulgaria,tokyo-2020,3,1,2,12
Iraq,tokyo-2020,0,0,0,2
Ecuador,tokyo-2020,2,1,0,16
Greece,tokyo-2020,2,1,1,20
Albania,tokyo-2020,0,0,0,4
Latvia,tokyo-2020,1,0,1,14
Jordan,tokyo-2020,0,1,1,6
Yemen,tokyo-2020,0,0,0,2
Tunisia,tokyo-2020,1,1,0,16
Georgia,tokyo-2020,2,5,1,8
Montenegro,tokyo-2020,0,0,0,6
Armenia,tokyo-2020,0,2,2,6
Malta,tokyo-2020,0,0,0,3
Canada,tokyo-2020,7,6,11,40
Republic of Moldova,tokyo-2020,0,0,1,7
Brazil,tokyo-2020,6,6,8,32
North Macedonia,tokyo-2020,0,1,0,5
Aruba,tokyo-2020,0,0,0,1
Myanmar,tokyo-2020,0,0,0,2
Vietnam,tokyo-2020,0,0,0,8
Nicaragua,tokyo-2020,0,0,0,4
Iceland,tokyo-2020,0,0,0,1
Saudi Arabia,tokyo-2020,0,1,0,7
Sweden,tokyo-2020,3,6,0,22
United Arab Emirates,tokyo-2020,0,0,0,2
Jamaica,tokyo-2020,4,1,4,4
Dominican Republic,tokyo-2020,0,3,2,10
Netherlands,tokyo-2020,10,12,14,31
South Africa,tokyo-2020,1,2,0,22
Nigeria,tokyo-2020,0,1,1,8
Sao Tome and Principe,tokyo-2020,0,0,0,1
Samoa,tokyo-2020,0,0,0,4
Cook Islands,tokyo-2020,0,0,0,2
Mozambique,tokyo-2020,0,0,0,4
Belize,tokyo-2020,0,0,0,1
Ethiopia,tokyo-2020,1,1,2,3
Eritrea,tokyo-2020,0,0,0,2
Trinidad and Tobago,tokyo-2020,0,0,0,7
Luxembourg,tokyo-2020,0,0,0,6
Costa Rica,tokyo-2020,0,0,0,6
Paraguay,tokyo-2020,0,0,0,5
Namibia,tokyo-2020,0,1,0,6
"Hong Kong, China",tokyo-2020,1,2,3,14
Rwanda,tokyo-2020,0,0,0,2
Burkina Faso,tokyo-2020,0,0,1,4
Panama,tokyo-2020,0,0,0,4
Zambia,tokyo-2020,0,0,0,3
Côte d'Ivoire,tokyo-2020,0,0,1,5
Honduras,tokyo-2020,0,0,0,4
Mauritius,tokyo-2020,0,0,0,4
Eswatini,tokyo-2020,0,0,0,1
Uganda,tokyo-2020,2,1,1,3
Cameroon,tokyo-2020,0,0,0,5
Haiti,tokyo-2020,0,0,0,3
Democratic Republic of the Congo,tokyo-2020,0,0,0,3
Tajikistan,tokyo-2020,0,0,0,2
Ghana,tokyo-2020,0,0,1,4
Kenya,tokyo-2020,4,4,2,6
Guyana,tokyo-2020,0,0,0,2
Burundi,tokyo-2020,0,0,0,2
Botswana,tokyo-2020,0,0,1,2
Cape Verde,tokyo-2020,0,0,0,2
Somalia,tokyo-2020,0,0,0,1
El Salvador,tokyo-2020,0,0,0,2
Antigua and Barbuda,tokyo-2020,0,0,0,2
Papua New Guinea,tokyo-2020,0,0,0,3
Liechtenstein,tokyo-2020,0,0,0,2
Angola,tokyo-2020,0,0,0,3
Fiji,tokyo-2020,1,0,1,4
Bermuda,tokyo-2020,1,0,0,2
Syrian Arab Republic,tokyo-2020,0,0,1,4
Vanuatu,tokyo-2020,0,0,0,3
Togo,tokyo-2020,0,0,0,2
Monaco,tokyo-2020,0,0,0,3
Andorra,tokyo-2020,0,0,0,1
Mali,tokyo-2020,0,0,0,1
Gabon,tokyo-2020,0,0,0,2
Niger,tokyo-2020,0,0,0,2
Tonga,tokyo-2020,0,0,0,2
Suriname,tokyo-2020,0,0,0,2
Maldives,tokyo-2020,0,0,0,1
Guinea-Bissau,tokyo-2020,0,0,0,2
Guam,tokyo-2020,0,0,0,2
Guinea,tokyo-2020,0,0,0,2
Bolivia,tokyo-2020,0,0,0,2
Zimbabwe,tokyo-2020,0,0,0,2
Chad,tokyo-2020,0,0,0,2
Kiribati,tokyo-2020,0,0,0,2
Comoros,tokyo-2020,0,0,0,1
Uruguay,tokyo-2020,0,0,0,3
Sierra Leone,tokyo-2020,0,0,0,1
Palestine,tokyo-2020,0,0,0,2
Sudan,tokyo-2020,0,0,0,2
Djibouti,tokyo-2020,0,0,0,1
Gambia,tokyo-2020,0,0,0,1
Malawi,tokyo-2020,0,0,0,2
Libya,tokyo-2020,0,0,0,2
Benin,tokyo-2020,0,0,0,3
Seychelles,tokyo-2020,0,0,0,2
Lao People's Democratic Republic,tokyo-2020,0,0,0,1
Madagascar,tokyo-2020,0,0,0,2
Turkmenistan,tokyo-2020,0,1,0,2
"Virgin Islands, US",tokyo-2020,0,0,0,1
Solomon Islands,tokyo-2020,0,0,0,2
Nauru,tokyo-2020,0,0,0,1
American Samoa,tokyo-2020,0,0,0,2
"Virgin Islands, British",tokyo-2020,0,0,0,1
Lesotho,tokyo-2020,0,0,0,1
United Republic of Tanzania,tokyo-2020,0,0,0,1
Liberia,tokyo-2020,0,0,0,1
Bahamas,tokyo-2020,2,0,0,1
Dominica,tokyo-2020,0,0,0,1
Grenada,tokyo-2020,0,0,1,1
Saint Lucia,tokyo-2020,0,0,0,1
Great Britain,pyeongchang-2018,1,0,4,11
Germany,pyeongchang-2018,14,10,7,14
Austria,pyeongchang-2018,5,3,6,11
Latvia,pyeongchang-2018,0,0,1,9
Netherlands,pyeongchang-2018,8,6,6,4
Canada,pyeongchang-2018,11,8,10,14
