title,date,reporter,press,contents
해리 케인 결국 토트넘 떠난다. 이적료 1억6000만파운드에 맨시티행 결정,2021.07.23,이원만,스포츠조선,"<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>[스포츠조선 이원만 기자] 잉글랜드 프리미어리그 토트넘 홋스퍼의 간판 스타인 해리 케인이 결국 새 팀으로 떠나게 됐다. 다니엘 레비 토트넘 회장이 케인을 풀어준 것. 케인의 새 정착지는 바로 맨체스터 시티다.영국 대중매체 더선은 23일(한국시각) '레비 회장이 결국 케인의 이적에 동의했다. 케인이 이적료 1억6000만파운드(약 2531억원)에 맨시티로 가게 됐다'고 보도했다. 이 매체는 케인이 맨시티에 합류하게 되면 주급으로 40만파운드(약 6억3000만원)를 받게 될 것이라고 전했다. 레비 회장은 지난 주 금요일에 케인에게 이적 동의에 대해 통보한 것으로 알려졌다. 케인은 이같은 결정을 들은 뒤 일요일에 열린 친형의 결혼식에 들러리로 참석해 이적에 대한 기쁨을 감추지 않았다. 토트넘과 좋은 관계를 유지하면서 결국 레비 회장의 허락을 받아 새 팀으로 떠날 수 있게 됐기 때문.케인과 맨시티의 계약은 아직 최종 확정된 상태는 아니다. 현재 막판 협상이 이뤄지고 있다. 이적료와 주급 수준이 결정됐고, 기간이 남아있다. 총 기간이 4년에서 5년 사이에 결정될 전망이다.  이원만 기자 wman@sportschosun.com▶재테크 잘하려면? 무료로 보는 금전 사주- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지"
"[오피셜] '팀내 최고 대우' 손흥민, 토트넘과 4년 재계약...2025년까지",2021.07.23,강동훈 east9river@gmail.com,골닷컴,"[골닷컴] 강동훈 기자 = 토트넘의 핵심 손흥민이 팀 내 최고 대우를 받으며 재계약을 체결했다.토트넘은 23일(한국시간) 공식 홈페이지를 통해 ""구단은 손흥민과 재계약을 맺게 된 소식을 전하게 되어 기쁘다. 손흥민은 2025년까지 함께 한다""고 발표했다.손흥민은 지난 2015년 여름 레버쿠젠에서 토트넘으로 이적한 뒤 매 시즌 발전을 거듭하며 팀의 핵심 선수로 자리매김했다. 첫 시즌은 고전했지만, 이내 적응을 마치면서 매 시즌 두 자릿수 득점에 성공했다. 손흥민은 통산 280경기를 소화하며 107골 64도움을 기록했다.특히 지난 시즌 활약이 인상적이었다. 프리미어리그에서만 37경기 17골 10도움으로 최다 공격포인트 3위에 이름을 올렸고, 개인 커리어 하이를 달성했다. 2시즌 연속 10-10 달성과 더불어 PFA 올해의 팀에 선정되는 영광도 누렸다.하지만 일각에서는 손흥민이 토트넘과 좋은 관계를 맺고 있음에도 계약 기간이 2년밖에 남지 않아 떠날 수 있다는 가능성을 제기했다. 챔피언스리그 진출에 실패하고, 우승권과 계속 멀어지자 그 가능성은 더 커졌다.이에 토트넘은 적극적으로 손흥민 붙잡기에 나섰다. 자칫 잘못하면 팀의 핵심을 잃을 수 있는 위기에 놓이자 발 빠르게 움직였고, 파격적인 재계약 조건을 제시했다. 결국 손흥민은 토트넘과 재계약에 사인하면서 계속 동행하게 됐다.영국 현지 대다수 언론의 보도에 따르면 손흥민은 주급 20만 파운드(약 3억 1,500만 원)를 받는 것으로 알려졌다. 이는 팀 내에서 해리 케인, 탕귀 은돔벨레와 함께 최고 대우에 해당한다. 프리미어리그 내에선 8위에 해당하는 고액 연봉이다. 손흥민은 그동안 팀에 헌신하며 보여온 맹활약을 드디어 인정받게 됐다.사진 = Getty Images, 토트넘"
"""술 사주는 형 조심하라"" 이 사태 예견한 경고 있었다",2021.07.23,정철우(butyou@maekyung.com),MK스포츠,"한국 프로야구가 최대 위기를 맞았다. 팬들의 신뢰가 땅에 떨어졌다. 만회할 수 있는 카드가 딱히 없다는 것이 더 큰 문제다. 돌아선 팬심을 되돌릴 방법이 없을 정도로 처참하게 무너지고 말았다. 사건이 터지고 한 사람의 강연이 떠올랐다. '그 강연이 프로야구 선수 전체를 향한 것이었다면 이 사태를 막을 수 있었을까'하는 아쉬움이 남을 정도로 예리하고 명확한 강연이었다. 홍성흔이 2019시즌 두산 신인들에게 했던 강연이 다시 화제다. 이번 술판 사태를 예견한 듯 경고의 메시지를 보냈기 때문이다.            사진=MK스포츠 DB 시계를 2년 전으로 돌려야 한다. 두산은 2019시즌 두산 유니폼을 입게 된 신인 선수들을 대상으로 교육을 했다. 그 중 홍성흔 샌디에이고 마이너팀 코치의 강연이 포함돼 있었다. 홍 코치의 강연 내용은 신인들에게 피가 되고 살이 되는 명언들의 모음이었다. 마치 지금의 사태를 예견이라도 한 듯, 선수들에게 꼭 피해야 할 것을 강조했다.  홍 코치는 ""쉽게 술 사주는 주변 형님들을 만나지 마라""고 입을 열였다. 마치 이 사태를 예견한 듯한 경고의 말이었다. ""신인 선수지만 프로 구단에 입단한 만큼 이제는 공인이다. 술로 인한 행동 실수는 본인 뿐만 아니라 팀에게도 가족에게도 손해를 끼친다""고 역설했다. 홍 코치는 술을 멀리할 수 있는 선수가 돼야 성공할 수 있다고 말하며 ""경쟁자들이 술을 마시러 갈 때 타격 스윙 한 번 더 하라""고 충고했다.홍 코치는 또 ""모든 게 술 때문이다. 여자 문제, 승부 조작, 도박 개입 등 모두 술에서 기인한다""고 후배들을 가르쳤다. 홍 코치의 강연은 마치 예언이 되어 2년 뒤 한국 프로야구를 뒤집었다. 술 잘 사주는 좋은(?) 형을 따라 나섰다가 여자 문제가 불거졌고 방역 수칙 위반이라는 약속까지 어기게 됐다. 모든 것이 술에서 시작했다. 결은 조금 다르지만 승부 조작에 연루된 선수들 대부분도 일단은 술로 시작한다. 술 잘 사주던 형에게 마음을 열었다가 꼬임에 넘어가 결국 넘어선 안 될 선을 넘게 되는 것이다. 억대 연봉을 받는 선수들이 쌈짓돈 정도에 불과한 금액에 쉽게 승부 조작 유혹에 빠지는 이유다. 홍 코치가 이미 2년 전에 이런 내용의 강연을 했다는 건 한국 프로야구에 이번 사태와 비슷한 음주 문화가 뿌리 깊게 내려 박혀 있었음을 뜻한다. 자신의 선수 시절에도 술의 유혹에 넘어가는 선수들을 많이 봤기에 나올 수 있는 이야기였다. 이번 술판 파문이 단순히 연루된 몇몇 선수의 일탈에 그치지 않는 이유다. 지금 같은 음주 문화가 바꾸지 않으면 모든 선수들이 장본인이 될 수 있다. 시즌 중 지나친 음주는 성실한 플레이에 대한 팬과의 약속을 저버리는 짓 임을 잊어선 안된다. 만약 홍성흔 코치의 강연이 프로야구 선수 전체를 대상으로 한 것이었다면 이번 사태를 막을 수 있었을까. 아쉽게도 고개가 가로 저어진다. 규칙이나 약속 따위는 헌신짝 처럼 여기는 이들에게 무슨 기대를 걸 수 있었겠는가. 다만 홍 코치의 통찰력이 새삼 놀랍게 느껴질 뿐이다. 또한 아직 그와 같은 정신력을 가진 선수들이 한국 프로야구에 적지 않게 남아 있을 수 있다는 희망도 가져보게 된다. 프로로 성공하고 싶은 선수라면 홍 코치의 말들을 다시 곱씹어 봐야 할 것이다."
"""케인, 주급 6억300만원에 맨시티 이적"" 더 선",2021.07.23,우충원 (10bird@osen.co.kr),OSEN,"[사진] ⓒGettyimages(무단전재 및 재배포 금지)[OSEN=우충원 기자] 해리 케인의 맨체스터 시티 이적설이 제기됐다. 더 선은 23일(한국시간) ""케인이 주급 40만 파운드(6억 3000만 원)을 받으며 맨시티로 이적하게 됐다. 다니엘 레비 회장은 최근 케인이 팀을 떠날 것이라고 전망했다""고 보도했다. 이어 ""소식통에 따르면 케인은 기뻐하고 있다. 분명 좋은 조건으로 이적하게 됐다. 현재 그는 이보다 좋은 조건으로 이적하지 못할 것""이라고 전했다. 케인은 지난 시즌 23골을 터뜨리며 프리미어리그 골든부츠를 수상했다. 리그 도움 1위에도 올랐다. 잉글랜드를 유로 2020 결승에 올렸다. 세계 최고 공격수 반열에 등극했다. 하지만 케인은 아직 우승 타이틀이 없다. 따라서 최근 이적설이 꾸준히 제기됐다. 이적 가능성에 대해 케인은 일단 유로 2020이 끝난 뒤 결정할 것이라고 설명했다. 대회가 마무리 된 후 케인 이적설이 다시 점화됐다. 그동안 토트넘은 케인 이적료로 1억 5000만 파운드(2350억 원)으로 알려졌다. 더 선은 구체적으로 이적료에 대해서는 언급하지 않았다. 맨시티가 케인에 관심을 보인 것은 세르히오 아구에로의 대체자로 케인을 점찍었다. 펩 과르디올라 감독은 케인에 대해 큰 관심을 보였고 결국 영입할 가능성이 높아졌다. 물론 토트넘은 케인에 대해 애정이 깊다. 누누 산투 감독은 ""케인은 우리 선수""라며 잔류를 확신했다. 또 현지 언론은 토트넘이 1억 파운드의 제안을 거절했다는 보도가 나왔다. 하지만 현실은 다르다. 케인도 토트넘을 떠날 상황이지만 불편한 관계를 맺고 싶지 않다. 더 선은 ""케인은 토트넘 유소년팀을 거쳐 프로에 데뷔했다. 따라서 애정이 특별하다. 하지만 우승에 대한 욕심도 어느 때 보다 크다. 더 선은 ""레비 회장은 케인을 런던 연고지 팀으로 보내고 싶지 않다. 조건은 잠정적으로 결정됐다. 토트넘과 맨시티 모두 긍정적인 이적이 될 것""이라고 설명했다.        /10bird@osen.co.kr"
몰리나도 김광현 이물질 검사할 정도…7월 4승+4QS ERA 0.72 [MD포인트],2021.07.23,박승환 기자 absolute@mydaily.co.kr,마이데일리,"[마이데일리 = 박승환 기자] 파죽의 개인 5연승을 질주했다. 내셔널리그 7월의 투수상에도 한 발 다가섰다.김광현은 23일(이하 한국시각) 미국 미주리주 세인트루이스의 부시스타디움에서 열린 2021 메이저리그 시카고 컵스와 홈 맞대결에 선발 등판해 6이닝 동안 투구수 84구, 2피안타 1볼넷 7탈삼진 2실점(2자책)으로 호투하며 6승(5패)째를 손에 넣었다.김광현은 이날 등판 전까지 개인 4연승, 21이닝 연속 무실점, 94타자 연속 무피장타를 기록할 정도로 가파른 상승세를 타고 있었다. 비록 연속 무실점은 24이닝, 무피장타 또한 107타자에서 제동이 걸렸지만, 좋은 흐름에 큰 영향은 없었다.김광현은 지난 1일 애리조나 다이아몬드백스전을 시작으로 샌프란시스코 자이언츠와 컵스를 각각 두 번씩 만나 모두 승리를 수확하며 파죽의 개인 5연승을 달렸다. 또한 7월 네 번의 등판에서 모두 퀄리티스타트(6이닝 3자책 이하)를 기록했다.시작부터 위력적이었다. 김광현은 1회 윌슨 콘트레라스-앤서니 리조-패트릭 위즈덤으로 이어지는 상위타선을 완벽하게 막아냈다. 그리고 2회에는 하비에르 바에즈와 라파엘 오르테가에게 각각 삼진을 뽑아내는 등 무결점 투구를 펼쳤다.3회에는 선두타자를 실책으로 내보냈지만, 흔들리지 않고 침착하게 병살타를 곁들이며 순항을 이어갔다. 첫 실점은 4회였다. 김광현은 4회 2사후 위즈덤에게 볼넷을 내준 뒤 바에즈에게 중전 안타를 맞아 1, 2루 위기를 맞았다.이후 김광현은 제이크 매리스닉에게 5구째 90.7마일(약 145.9km) 포심을 공략당해 2타점 2루타를 허용했고, 연속 이닝 무실점과 무피장타 행진에 막을 내렸다. 그러나 흔들리지 않았다. 김광현은 오르테가를 삼진으로 돌려세워 이닝을 마감했다. 그리고 5~6회를 완벽하게 매조지며 제 몫을 완벽하게 해냈다.배터리 호흡을 맞춘 '베테랑' 야디에르 몰리나는 이닝 중간에 김광현의 글러브와 모자, 벨트를 검사하는 시늉을 하기도 했다. 그만큼 김광현의 최근 투구가 좋다는 것을 직·간접적으로 알 수 있었다.김광현은 최고 92마일(약 148km) 포심 패스트볼(27구)와 슬라이더(38구)를 바탕으로 체인지업(11구)-커브(7구)를 섞어 던지며 컵스 타선을 봉쇄했다. 상대의 허를 찌르는 커브를 비롯해 체인지업, 슬라이더 모두 위닝샷으로 쓰기 충분할 정도로 날카로웠다. 한국 시각으로는 하루가 지났지만, 미국 현지 시각으로는 자신의 생일에 기분 좋은 투구를 펼쳤다.지난 21일 'MLB 네트워크'는 SNS를 통해 ""당신이 7월의 투수상을 뽑는다면 누구에게 투표할 것인가?""라며 김광현을 비롯해 윌리 페랄타(DET), 코빈 번스(MIL), 로비 레이(TOR), 크리스 플렉센(SEA), 랜스 린(CWS)을 조명했다.MLB 네트워크가 이달의 투수상 후보를 선정하고 시상을 진행하는 것은 아니다. 하지만 김광현을 직접적으로 언급할 만큼 좋은 흐름을 보이고 있었던 것은 분명하다. 김광현은 7월에만 4경기에 등판해 4승 무패, 25이닝 동안 2실점(2자책) 평균자책점 0.72의 성적을 바탕으로 내셔널리그 이달의 투수상에 한 발 더 다가섰다.[세인트루이스 카디널스 김광현. 사진 = AFPBBNEWS](박승환 기자 absolute@mydaily.co.kr)"
"'안녕히계세요 올드트라포드' 포그바, 맨유 떠난다. 5000만파운드 제안 거절",2021.07.23,이원만,스포츠조선,"폴 포그바   캡처=유로2020 SNS[스포츠조선 이원만 기자] 잉글랜드 프리미어리그 맨체스터 유나이티드의 폴 포그바가 결국 팀을 떠날 전망이다. 맨유의 주급 인상 재계약안을 거절했다. 오랫동안 그를 노려 온 파리생제르맹(PSG)으로 가기 위한 의사표현으로 받아들여지고 있다.영국 대중매체 미러는 23일(한국시각) '포그바가 맨유의 5000만파운드 재계약 제안을 거절하고 이번 여름 팀을 떠나려 한다'고 보도했다. 이에 따르면 포그바는 최근 맨유가 제안한 5000만파운드(약 791억원)의 제안을 거절했다. 포그바가 제안을 거절함에 따라 맨유는 빠른 시점에서 선수를 팔아야 한다. 포그바를 구단 사상 최고 이적료인 8900만파운드(약 1409억원)에 영입했던 맨유는 계약 기간이 1년 남은 시점에서 재계약을 추진했다. 하지만 포그바가 거부했기 때문에 1년이 지나면 자유계약으로 선수를 내보내야 한다. 이적료를 챙길 수 있는 시간이 얼마 남지 않았다.PSG가 이런 상황에서 포그바에게 파격적인 주급 인상을 제안할 전망이다. 현재 포그바는 주급 25만파운드(약 4억원)를 받고 있다. 맨유가 이를 35만파운드(약 5억5400만원)로 인상하려 했는데, 포그바가 거절했다. PSG는 포그바 영입을 위해 4500만파운드(약 712억원)를 준비해놓은 것으로 알려졌다.이런 상황에서 레알 마드리드도 포그바에게 관심이 있다. 전임 지네딘 지단 감독 시절부터 포그바를 원하고 있었다. 하지만 재정 상황이 PSG에 비해 열악하다. 때문에 라파엘 바란을 매개체로 맨유와 스왑딜을 시도할 가능성이 제기되고 있다. 맨유는 바란을 원한다. 이적료로 5000만파운드를 책정해놓은 상황이라 포그바와 얼추 딜이 된다. 이원만 기자 wman@sportschosun.com▶재테크 잘하려면? 무료로 보는 금전 사주- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지"
"'코리안 좀비' 정찬성, UFC에 '뿔났다'...""2년 공백  야이르에 기회 주다니...""",2021.07.23,장성훈 seanmania2020@maniareport.com,마니아타임즈,"정찬성코리안 좀비' 정찬성이 뿔났다.정찬성은 최근 UFC가 야이르 로드리게스에게 맥스 할러웨이와 싸울 수 있는 기회를 준 것에 불만을 터뜨렸다.정찬서은 자신이 진행하고 있는 유튜브를 통해 ""야이르는 2년이나 공백이 있었다. 그런데도 그에게 페더급 1위인 할러웨이와 대결하도록 했다""고 주장했다.그러면서, ""나는 브라이언 오테가에게 진 후 조용히 있었다. 하지만, 나는 UFC에 더 이상 나보다 랭킹이 낮은 서수와는 싸우디 않겠다고 분명히 전했다""고 말했다.정찬성은 그러나 ""이에 대해  UFC는 아직 아무런 말이 없다""고 답답해 했다.정찬성의 랭킹은 4위다.이에 대해 미국 매체들은 정찬성의 주장이 일리가 있다고 전했다.정찬성은 UFC 25 메인 이벤트에서 댄 이게에게 판정을 거뒀으나 어깨 부상을 입어 최대 6개월 출장 정지 명령을 받았다.정찬성은미국에서 줄기세포를 이식하는 수술을 받은 것으로 알려졌다.할러웨이와의 대결을 원하고 있는 정찬성은 ""할러웨이의 주먹은 나보다 약하다""며 도발하기도 했다."
토트넘 '745억' 대형 수비수까지 품는다…5년 계약 합의,2021.07.23,김건일 기자(kki@spotvnews.co.kr),스포티비뉴스,"▲ 크리스티안 로메로는 아르헨티나를 코파아메리카 2021 우승으로 이끌었다.[스포티비뉴스=김건일 기자] 파비오 파라티치 신임 스포츠디렉터를 중심으로 전력 보강에 열을 올리고 있는 토트넘 홋스퍼가 코파 아메리카에서 아르헨티나를 우승으로 이끈 수비수 크리스티안 로메로(23, 아탈란타) 영입에 가까워졌다.이적시장 전문가 파브리지오 로마노 기자는 23일(한국시간) 트위터를 통해 토트넘이 로메로와 5년 계약에 합의했다고 보도했다. 아르헨티나에서 높은 공신력을 자랑하는 TyC 스포츠 역시 같은 소식을 전했다.로메로는 아탈란타 핵심 수비수로 20-21 시즌 이탈리아 세리에A 베스트 11에 선정됐다.지난해부터 아르헨티나 국가대표에 차출됐고 코파아메리카 2021에서 붙박이 주전으로 출전해 우승에 힘을 보탰다.명문 구단들의 관심에 아탈란타는 이적료로 5500만 유로(약 745억 원)를 책정했다.토트넘은 아탈란타 주전 골키퍼 피엘를루이지 골리니(26)를 임대로 데려오는 과정에서 로메로 영입을 함께 논의했다. 골리니는 이탈리아에서 1차 메디컬 테스트를 통과하고 이날 런던으로 향할 예정이다.TyC스포츠에 따르면 토트넘은 4000만 유로(약 540억 원)에 부대 조항 1000만 유로(약 135억 원)를 더해 5000만 유로를 아탈란타에 제안했다.로마노 기자는 아탈란타가 로메로의 이적을 대비해 대체 선수로 스벤 보트만(릴OSC)을 낙점했다고 덧붙였다.로메로는 수비 기술과 함께 축구 지능이 좋아 빌드업에 특화돼 있다는 평가를 받는다. 아탈란타에서 3백으로 뛰었기 때문에 누누 에스피리토 산투 신임 감독이 추구하는 3백 전술에 빠르게 적응할 수 있을 것으로 보인다.파라티치 스포츠 디렉터를 새로 선임한 토트넘은 활발한 이적시장을 보내고 있다. 메디컬테스트와 입단식을 위해 런던행이 잡혀 있는 골리니를 비롯해 볼로냐 수비수 도미야스 다케히로, 세비야 윙어 브라이언 힐 등과 영입이 가까워졌다."
"SON 재계약 '중대 기로'... 케인같은 족쇄냐, 마지막 도전이냐",2021.07.23,김명석 기자 (clear@mtstarnews.com),스타뉴스,"손흥민. /AFPBBNews=뉴스1손흥민(29·토트넘)이 중대한 기로에 섰다. 우리 나이로 서른 살, 어쩌면 더 큰 무대에 도전할 마지막 기회에 토트넘과 재계약설이 현지에서 보도되고 있기 때문이다. 만약 재계약을 하게 되면 손흥민은 30대 중반까지는 토트넘에 머물러야 할 수도 있다. 마침 빅클럽들의 관심도 이어지고 있는 상황, 손흥민의 재계약보다는 도전을 바라는 팬들의 목소리가 커지고 있다.최근 손흥민의 재계약설이 나온 건 지난 17일 영국 풋볼인사이더가 ""주급 20만 파운드, 약 3억2000만원이 넘는 조건의 '블록버스터급' 계약에 합의했다""는 보도였다. 이미 손흥민이 재계약 합의를 마쳤다는 설명이 더해졌다.20만 파운드 이상의 주급은 현재 손흥민이 받고 있는 14만 파운드(약 2억2000만원)보다 약 1억원 늘어난 수준이자, 해리 케인(28·토트넘)의 주급과 같은 수준이다. 20만 파운드를 넘길 것이란 보도 내용을 감안하면 팀 내 최고 대우를 받을 것이라는 전망이 나온 셈이다.그나마 '감독과 면담을 거쳐 재계약에 합의했다'는 기사 내용과 달리, 누누 토트넘 감독이 ""아직 손흥민을 직접 만나본 적은 없다""고 밝히면서 보도는 힘을 잃었다. 하지만 손흥민이 팀 훈련에 정상적으로 합류한 상황인 만큼, 앞으로 재계약설은 꾸준히 제기될 전망이다.손흥민이 중대한 기로에 서 있는 이유다. 만약 현지 전망대로 재계약을 맺으면 2023년 6월까지인 현재 계약기간이 적어도 2025년 이후로 늘어날 전망이기 때문이다. 2025년이면 손흥민은 만 33세, 우리 나이로 34살이 된다. 일반적으로 공격수로서 많은 나이다. 사실상 토트넘에서 전성기를 모두 보내야 하는 셈이다.특히 계약기간이 길어지면 다른 구단으로의 이적 가능성이 크게 떨어진다는 점이 문제가 될 수 있다. 파트너 케인의 사례가 대표적이다. 이미 이적을 요청한 데다 맨체스터 시티가 1억 파운드, 1500억원이 넘는 이적료를 제시했는데도 떠나지 못하고 있는 것은 결국 3년이나 남은 계약기간과 맞물려 토트넘이 이적 주도권을 쥐고 있기 때문이다.손흥민(오른쪽)과 해리 케인. /AFPBBNews=뉴스1반대로 파리생제르맹(PSG)의 킬리안 음바페(22)의 경우 계약기간이 1년밖에 남지 않은 상황에 레알 마드리드 등 빅클럽 이적설이 꾸준히 돌고 있다. PSG는 어떻게든 음바페와 재계약하기 위해 안간힘을 쓰고 있지만, 협상이 최종적으로 결렬되면 이적료를 받기 위해서라도 이번 여름 이적시킬 수밖에 없는 처지이다.손흥민 역시 토트넘과 재계약을 통해 계약기간이 늘어난다면, 케인처럼 다른 구단의 러브콜을 받더라도 쉽게 떠날 수 없는 '족쇄'가 될 수도 있는 셈이다.많은 팬들이 토트넘과 재계약 대신에 새로운 도전을 기대하는 것도 같은 이유에서다. 이미 레알 마드리드나 바이에른 뮌헨, 리버풀 등 손흥민에게 관심을 갖는 구단들이 적지 않은 것으로 현지에서도 내다보고 있는 만큼, 성급한 재계약보다는 적극적으로 이적을 추진해볼 만한 시기라는 것이다. 그 밑바탕엔 토트넘보다 더 전력이 강한 팀에서 더 많은 지원을 받을 수 있다면 개인 기록은 물론 우승 커리어에도 도움이 될 것이라는 그를 향한 응원이 깔려 있다.바이에른 뮌헨의 경우 손흥민의 계약기간이 1년 남게 되는 내년 여름 영입을 검토하고 있다는 보도가 나왔다. 만약 손흥민이 재계약을 미룬다면, 토트넘 입장에서도 내년 여름엔 그의 이적을 염두에 둘 수밖에 없기 때문이다. 그런 상황이 온다면, 뮌헨뿐 아니라 더 많은 빅클럽들의 러브콜이 이어질 수도 있음은 물론이다.토트넘은 이번 시즌 챔피언스리그에 출전하지 못하고, 현지에선 다음 시즌 역시 챔피언스리그 진출 가능성을 부정적으로 전망하고 있다. 지금 당장 재계약을 하지 않으면 주급은 오르지 않겠지만 더 큰 구단, 더 큰 무대에 도전할 수 있는 가능성은 더 커질 수 있다.어쨌든 최종적인 결정은 손흥민 스스로의 몫이다. 새로운 도전을 택할 수도, 아니면 보다 안정적으로 지금처럼 토트넘의 에이스 역할을 이어갈 수도 있다. 그가 내릴 선택에 손흥민의 팬들은 물론, 유럽 축구계의 시선이 쏠리고 있다./그래픽=김혜림 기자"
하루에 3타점…김하성 '프로는 상황을 탓하지 않는다!',2021.07.23,이규원 green8861@mhnew.com,MHN스포츠,"오랜만에 더블헤더 선발출장 공수 안정된 활약김하성, 1차전 1안타·1타점…2차전 1안타·2타점1차전은 2루수, 2차전 3루수로 잘 치고 잘 잡고김하성은 애틀랜타 브레이브스와의 더블헤더 1차전에서 2타수 1안타 1타점을 기록했다. [게티이미지/AFP=연합뉴스][MHN스포츠 이규원 기자] 장인이 도구를 탓하지 않는 것처럼 프로는 상황을 탓하지 않는다!김하성(26·샌디에이고 파드리스)이 들쑥날쑥한 경기 출장으로 컨디션 조절에 애를 먹고 있지만, 선발 기회를 잡은 경기에서 공격과 수비에서 탄탄한 모습을 보였다.김하성이 오랜만에 더블헤더 1·2차전에 모두 선발 출장해 공수에 걸쳐 안정된 활약을 펼쳤다.1차전은 7번 타자 2루수로 출장하여 2타수 1안타 1타점을 기록했고 2차전은 7번타자 3루수로 선발 출장해 2타수 1안타 2타점을 올렸다.김하성은 22일(이하 한국시간) 미국 조지아주 애틀랜타 트루이스트 파크에서 열린 미국프로야구 메이저리그 애틀랜타 브레이브스와의 더블헤더 1차전에서 2타수 1안타 1타점을 기록했다.7번 타자 2루수로 출장한 김하성은 2회초 첫 타석에서는 2루수 땅볼로 아웃됐다.0-0인 4회초에는 1사 3루에서 중견수 방면으로 직선타로 희생플라이를 기록, 선취타점을 올렸다.샌디에이고는 5회초 페르난도 타티스 주니어가 투런포를 터뜨려 3-0으로 달아났다.김하성은 6회초 세 번째 타석에서는 유격수 쪽으로 내야안타를 치고 나갔다.하지만 후속타가 터지지 않아 득점에는 실패했다.김하성은 수비에서도 몇 차례 빼어난 호수비를 펼쳐 벤치의 눈도장을 받았다.7이닝만 치러진 더블헤더 1차전은 샌디에이고가 3-2로 승리했다.김하성은 더블헤더 2차전에서도 7번타자 3루수로 선발 출장해 2타수 1안타 2타점을 기록했다.김하성은 더블헤더 2차전에서 7번타자 3루수로 선발 출장해 2타수 1안타 2타점을 기록했다. [USA투데이 스포츠=연합뉴스]2차전에서 김하성의 방망이는 초반부터 폭발했다.샌디에이고가 2-0으로 앞선 1회초 2사 1, 2루에서 타석에 나선 김하성은 애틀랜타 선발 브라이스 윌슨의 151㎞짜리 포심 패스트볼을 받아쳐 좌중간을 가르는 통렬한 2루타로 주자 2명을 모두 불러들였다.김하성은 4-5로 쫓긴 3회초에는 좌익수 뜬공에 그쳤다. 김하성은 4회말 수비 1사 1루에서 3·유간에 빠지는 공을 잡아 병살플레이를 연출했다. 이 경기는 5회초 샌디에이고의 공격이 끝난 뒤 폭우가 쏟아져 중단됐다. 2시간여를 기다려도 그칠 기미가 보이지 않자 서스펜디드게임이 선언됐다. 경기 재개 일정은 추후 결정된다."
