title,date,reporter,press,contents
"[올림픽 리뷰] '수비 붕괴' 일본, '당일 도착' 나이지리아에 4-5 패",2018.07.25,서재원 기자,인터풋볼,"[인터풋볼] 서재원 기자= 일본이 킥오프 6시간 전에야 브라질에 도착한 나이지리아에 5골을 허용하며 대패했다.일본은 5일 오전 10시(한국시간) 브라질 마나우스 아마조니아 아레나에서 열린 2016 리우데자네이루 올림픽 B조 조별리그 1차전 경기에서 에테보의 4골 등 5골을 내주며 4-5로 패했다.일본은 4-1-4-1 포메이션으로 최전방에 코로키가 출격했고, 미드필드진에 나카지마, 하라카와, 오시마, 미나미노 등이 포진됐다. 이에 맞서는 나이지리아는 4-2-3-1 포메이션으로 사디크를 중심으로 에테보, 미켈, 이모흐가 공격을 이끌었다.경기 초반부터 난타전이 예고됐다. 전반 6분 나이지리아의 사디크가 선제골을 터트렸지만, 3분 뒤, 일본에 페널티킥을 내줬고, 키커로 나선 코로키가 페널티킥을 성공시키며 동점을 만들었다.순식간에 양 팀이 한 골씩을 추가로 주고 받았다. 전반 10분 나이지라의 에테보가 왼발 슈팅으로 일본의 골망을 갈랐고, 고답로 일본의 미나미노가 골키퍼와 1대1 찬스를 놓치지 않고 재차 승부를 원점으로 돌렸다.시간이 흐를수록 나이지리아의 공격이 계속됐다. 전반 41분 사디크가 오른쪽 측면 드리블 돌파를 통해 일본의 수비진을 완전히 무너트렸고, 혼전 상황 속에서 에테보가 두 차례의 연속 슈팅으로 일본의 골망을 흔들었다.후반에도 나이지리아가 우위를 점했다. 후반 4분 우마르가 페널티 에어리어 안쪽이서 긴 다리를 활용한 드리블 돌파로 페널티킥을 얻었고, 이를 에테보가 마무리하며 해트트릭을 완성시켰다. 에테보는 후반 20분 상대 골키퍼의 볼처리 미스를 놓치지 않고, 자신의 4번째 득점까지 성공했다.일본도 당하고만 있지 않았다. 후반 25분 교체투입된 아사노가 만회골을 터트리며 다시 추격의 불씨를 되살렸다. 일본은 후반 종료 직전 한 골을 더 추가했지만, 승부를 뒤집기엔 이미 늦은 시간이었고, 일본은 체력적으로 유리한 상황 속에서도 5골이나 실점하며 4-5로 패배했다. 한편, 축구 협회의 운영 미숙과 자금 문제로 한 동안 비행기에 오르지 못했던 나이지리아 대표팀은 경기 6시간 전에 겨우 브라질 땅을 밟았다. 공항에 도착한 나이지리아 선수단은 쉴 틈 없이 경기장으로 향한 것으로 알려졌다. Copyright ⓒ 인터풋볼. 무단전재 및 재배포 금지
기사제공 인터풋볼
서재원 기자







서재원 기자


구독



서재원 기자의 구독을 취소하시겠습니까?구독에서 해당 기자의 기사가 제외됩니다.

예
아니오

닫기






구독자
-


응원수
-







[FA컵 리뷰] '루카쿠 멀티골' 맨유, 허더즈필드 2-0 꺾고 '8강 진출!'


[라리가 리뷰] '31G 무패' 바르사, 에이바르에 2-0 승...클럽 최다 무패 기록









Copyright ⓒ 인터풋볼. All rights reserved. 무단 전재 및 재배포 금지.



기사 섹션 분류 가이드

기사 섹션 분류 안내
스포츠 기사 섹션(종목) 정보는 언론사 분류와 기술 기반의 자동 분류 시스템을 따르고 있습니다. 오분류에 대한 건은 네이버스포츠로 제보 부탁드립니다.
오분류 제보하기
가이드 닫기"
"'화력폭발' 한국, 피지 8-0 대파…류승우 해트트릭",2016.08.05,사우바도르 = 안경남 기자 knan0422@mydaily.co.kr,마이데일리,"[마이데일리 = 사우바도르 안경남 기자]신태용호가 피지를 대파하며 리우올림픽서 순조로운 출발을 보였다.한국은 5일 오전(한국시각) 브라질 사우바도르 폰치노바아레나에서 열린 피지와의 2016 리우올림픽 남자축구 C조 1차전에서 피지에 8-0으로 크게 이겼다. 한국은 류승우가 해트트릭을 기록했고 권창훈 석현준은 나란히 멀티골을 기록했다. 와일드카드 손흥민도 득점행진에 가세하며 대승을 거뒀다. 피지전을 대승으로 장식한 한국은 C조 1위로 올라선 가운데 오는 8일 독일을 상대로 2차전을 치른다.한국은 피지를 상대로 전반전 초반부터 주도권을 잡고 일방적인 공격을 펼쳤다. 전반 2분 페널티지역 왼쪽을 돌파한 황희찬의 슈팅으로 포문을 열었던 한국은 전반 4분 이슬찬이 페널티지역 정면서 때린 오른발 슈팅이 골키퍼 타마니사우의 손끝에 걸렸다. 이후 한국은 전반 23분 문창진이 페널티지역 정면서 오른발 터닝 슈팅으로 피지 골문을 위협했다. 전반 29분 권창훈이 페널티지역 오른쪽에서 때린 왼발 슈팅은 골문 옆그물을 흔들었다.피지를 상대로 일방적인 경기력을 선보인 한국은 전반 32분 류승우가 선제골을 성공시켰다. 류승우는 오른쪽 측면에서 권창훈이 올린 크로스를 페널티지역 왼쪽에서 이어받은 후 왼발 슈팅으로 피지 골문 구석을 갈랐다.이후 한국은 전반 38분 결정적인 추가골 기회를 놓쳤다. 페널티지역 왼쪽에서 피지의 바라빌라라와 경합하던 류승우가 넘어졌고 주심은 페널티킥을 선언했다. 키커로 나선 문창진은 왼발 슈팅을 때렸지만 골포스트를 맡고 나와 아쉬움을 삼켜야 했다.반면 피지는 전반전 동안 크리스나가 중거리 슈팅으로 한차례 유효슈팅을 기록하는데 그쳤다.양팀은 후반전 들어서도 비슷한 경기 흐름을 이어갔다. 후반전 초반 권창훈과 류승우의 슈팅으로 추가골을 노린 한국은 후반 11분 황희찬이 드리블 돌파 이후 페널티지역 정면 단독 찬스에서 오른발로 때린 슈팅이 골키퍼 선방에 막혔다.한국은 후반 17분부터 2분 사이 3골을 몰아 넣으며 골잔치를 펼쳤다. 한국은 후반 17분 문창진의 패스에 이어 권창훈이 페널티지역 정면에서 왼발 슈팅으로 골문 왼쪽 구석을 갈랐다.이후 한국은 1분 만에 권창훈이 멀티골을 기록했다. 권창훈은 왼쪽 측면에서 류승우가 올린 땅볼 크로스를 골문앞 슈팅으로 마무리하며 피지 골망을 흔들었다.공격의 고삐를 늦추지 않은 한국은 후반 18분 류승우가 또다시 득점포를 가동했다. 류승우가 페널티지역 왼쪽을 침투해 때린 대각선 슈팅은 골문 구석을 갈랐다.한국은 후반 24분 황희찬과 권창훈 대신 손흥민과 석현준을 투입해 추가골에 대한 의욕을 보였다.한국은 후반 27분 손흥민까지 득점행진에 가세했다. 류승우가 페널티지역에서 피지의 드렐로아와 볼을 경합하는 과정에서 페널티킥을 얻어냈다. 키커로 나선 손흥민은 강력한 오른발 슈팅으로 득점행진을 이어갔다.이어 한국은 후반 32분 석현준이 팀의 6번째 골을 기록했다. 석현준은 류승우의 슈팅을 골키퍼 타마니사우가 걷어내자 페널티지역 왼쪽에서 재차 슈팅으로 마무리하며 피지 골망을 흔들었다.한국은 경기 종반까지 추가골에 대한 강한 의욕을 보였다. 후반 42분 페널티지역 왼쪽을 침투한 손흥민이 왼발로 때린 슈팅을 때린 슈팅을 피지 수비수가 골라인위에서 걷어내는 등 일방적인 경기가 이어졌다. 한국은 후반 45분 석현준이 헤딩 슈팅으로 멀티골에 성공하며 승리를 자축했다. 이어 한국은 후반전 인저리타임 류승우가 해트트릭을 완성하는 골을 터트린 끝에 피지전을 대승으로 장식했다.[한국과 피지의 리우올림픽 남자축구 C조 1차전 경기장면. 사진 = 곽경훈 기자 kphoto@mydaily.co.kr](사우바도르 = 안경남 기자 knan0422@mydaily.co.kr) 기사 제보 및 보도자료 press@mydaily.co.kr사진 및 기사 구매 contents@mydaily.co.kr- NO.1 뉴미디어 실시간 뉴스 마이데일리(www.mydaily.co.kr) 저작권자 ⓒ 마이데일리. 무단전재&재배포 금지 -
						
						
						
						
						기사제공 마이데일리
사우바도르 = 안경남 기자 knan0422@mydaily.co.kr







Copyright ⓒ 마이데일리. All rights reserved. 무단 전재 및 재배포 금지.



기사 섹션 분류 가이드

기사 섹션 분류 안내
스포츠 기사 섹션(종목) 정보는 언론사 분류와 기술 기반의 자동 분류 시스템을 따르고 있습니다. 오분류에 대한 건은 네이버스포츠로 제보 부탁드립니다.
오분류 제보하기
가이드 닫기"
"'승부 조작 물의' 이태양, 징역 1년·집행유예 2년 구형",2016.08.05,박대현 기자(pdh@spotvnews.co.kr),스포티비뉴스,"▲ NC 다이노스 이태양 ⓒ 한희재 기자[스포티비뉴스=창원, 박대현 기자] 검찰은 5일 창원지방법원 제4형사단독 심리로 열린 이태양(23)에 대한 첫 공판에서 국민체육진흥법 위반 혐의로 기소된 이태양에게 징역 1년, 집행유예 2년, 추징금 2,000만원을 구형했다.이태양은 지난달 21일 승부 조작 혐의로 불구속 기소됐다. 당시 창원지방검찰청 김경수 부장검사는 ""이태양이 브로커 조 모 씨에게 2,000만 원을 받고 경기 조작에 가담한 정황이 포착됐다. 충분한 증거 자료를 확보해 이태양과 불법 스포츠 도박 베팅방 운영자 최 모 씨를 불구속 기소했고 브로커 조 모 씨를 구속 기소했다. 브로커에게 먼저 승부 조작을 제의한 문우람은 군인 신분이기 때문에 군 검찰로 이첩돼 조사 받고 있다""고 밝혔다.이태양은 지난해 5월 29일 KIA 타이거즈와 경기를 시작으로 모두 4번 승부 조작을 시도했다. 1회 고의 볼넷 또는 고의 실점 등으로 경기 조작을 벌였다. 4번의 시도 가운데 2번만 성공했다. 이태양은 모든 혐의를 인정했고 검찰 수사에 적극적으로 협조한 것으로 알려졌다.최후 진술에서 이태양은 울먹였다. 그는 마지막으로 할 말이 있느냐는 재판장의 물음에 ""사회에 물의를 일으켜 정말 죄송하다. 깊이 반성하고 있다. 야구 팬들께 실망감을 안겨 정말 죄송하다. 가족들을 볼 낯이 없다. 친구 (문)우람이게도 미안하다""고 말했다. 중간중간 말을 잇지 못하고 울음을 삼키며 힘겹게 최후 진술을 마쳤다.<저작권자 ⓒ SPOTV NEWS 무단전재 및 재배포 금지>
						
						
						
						
						기사제공 스포티비뉴스
박대현 기자(pdh@spotvnews.co.kr)







Copyright ⓒ 스포티비뉴스. All rights reserved. 무단 전재 및 재배포 금지.



기사 섹션 분류 가이드

기사 섹션 분류 안내
스포츠 기사 섹션(종목) 정보는 언론사 분류와 기술 기반의 자동 분류 시스템을 따르고 있습니다. 오분류에 대한 건은 네이버스포츠로 제보 부탁드립니다.
오분류 제보하기
가이드 닫기"
"'8골 대승' 신태용 감독, ""독일전 다른 전술 구상""",2016.08.05,사우바도르 = 안경남 기자 knan0422@mydaily.co.kr,마이데일리,"[마이데일리 = 사우바도르 안경남 기자] 역대 올림픽 본선 최다골로 피지를 격파한 신태용 감독이 독일전에 다른 전술을 구사하겠다는 뜻을 내비쳤다.신태용 감독이 이끄는 한국 올림픽대표팀은 5일 오전 8시(한국시간) 브라질 사우바도르 폰치 노바 아레나에서 열린 피지와의 2016 리우데자네이루 올림픽 남자축구 조별리그 C조 1차전에서 3골 1도움을 기록한 류승우의 맹활약을 앞세워 8-0 대승을 거뒀다.경기 후 기자회견에서 신태용 감독은 “올림픽이란 큰 무대에서 첫 경기를 치르다보니 선수들이 전반에 다소 긴장한 것 같다”면서 “하프타임에 과감하게 공격할 것을 주문했는데 이것이 후반 대량 득점으로 이어진 것 같다”고 말했다.8골차 승리는 68년 만의 본선 최다골이다. 신태용은 “동기부여가 될 것이다. 좋은 결과가 나오면서 머릿속 구상이 편해졌다. 독일전에 올인하게 됐다는 부분에서 소득이 있다. 독일을 이기면 8강 가는 길이 훨씬 수월해진다”고 했다.신태용은 앞서 독일과 멕시코의 경기를 직접 관찰했다. 그는 “비겼으면 했는데 바람대로 됐다”며 “모든 걸 말할 수는 없지만 오늘과는 다른 포메이션을 사용할 것이다”고 설명했다.이어 “손흥민과 석현준도 좋아졌다. 생각한 부분들을 보완해서 우리팀이 좋은 방향으로 나갈 수 있도록 연구하겠다. 미안하지만 어떻게 한다는 것은 이야기할 수 없다”고 덧붙였다.한편, 신태용호는 한국시간으로 오는 8일 오전 4시 같은 장소에서 독일과 조별리그 2차전을 갖는다. 독일은 앞서 치른 멕시코와의 첫 경기에서 난타전 끝에 2-2 무승부를 기록했다.[사진 = 곽경훈 기자 kphoto@mydaily.co.kr](사우바도르 = 안경남 기자 knan0422@mydaily.co.kr) 기사 제보 및 보도자료 press@mydaily.co.kr사진 및 기사 구매 contents@mydaily.co.kr- NO.1 뉴미디어 실시간 뉴스 마이데일리(www.mydaily.co.kr) 저작권자 ⓒ 마이데일리. 무단전재&재배포 금지 -
						
						
						
						
						기사제공 마이데일리
사우바도르 = 안경남 기자 knan0422@mydaily.co.kr







Copyright ⓒ 마이데일리. All rights reserved. 무단 전재 및 재배포 금지.



기사 섹션 분류 가이드

기사 섹션 분류 안내
스포츠 기사 섹션(종목) 정보는 언론사 분류와 기술 기반의 자동 분류 시스템을 따르고 있습니다. 오분류에 대한 건은 네이버스포츠로 제보 부탁드립니다.
오분류 제보하기
가이드 닫기"
"'장군멍군' 멕시코-독일, 난타전 끝에 2-2 무승부",2016.08.05,사우바도르 = 안경남 기자 knan0422@mydaily.co.kr,마이데일리,"[마이데일리 = 사우바도르 안경남 기자] 장군멍군이었다. ‘디펜딩 챔피언’ 멕시코와 ‘전차군단’ 독일이 공방전 끝에 무승부를 기록했다.멕시코와 독일은 5일 오전 4시(한국시간) 브라질 사우바도르 폰치 노바 아레나에서 열린 2016 리우데자네이루 올림픽 남자축구 조별리그 C조 1차전에서 2골씩 주고받으며 2-2로 비겼다. 이로써 양 팀은 나란히 승점 1점을 나눠가졌다. 독일은 한국과 8일 2차전을 치르고, 멕시코는 피지를 상대한다.독일은 최전방에 젤케를 중심으로 2선에 브란트, 고레츠카, 마이어를 배치했다. 중원은 ‘벤더 형제’ 라스와 스벤이 자리했고 수비는 톨얀, 긴터, 쥘레, 글로스터만이 맡았다. 골키퍼 장갑은 호른이 꼈다.멕시코는 런던 올림픽 금메달리스트 페랄타가 공격 선봉에 섰다. 그리고 부에노, 라자노, 피사로가 공격을 지원했다. 중앙에는 페레즈, 구티에레즈가 포진했다. 수비에는 아벨라, 몬데스, 살세도, 토레스가 자리했다. 골문은 탈라베라가 지켰다.초반 주도권을 쥔 쪽은 멕시코였다. 라자노, 부에노가 잇따른 슈팅으로 독일 골문을 두드렸다. 위기를 넘긴 독일은 브란트, 젤케를 앞세워 반격을 시도했다. 그러나 문전에서 정확도가 떨어졌다. 멕시코는 전반 27분 결정적인 찬스를 놓쳤다. 페랄타의 패스를 받은 라자노가 골키퍼와 1대1 상황에 놓였지만 슈팅 타이밍이 늦으며 무산됐다. 독일은 1분 뒤 부상이 의심되는 고레츠카를 빼고 나브리를 투입했다.독일도 기회를 늘렸다. 전반 35분 나브리가 멕시코 측면을 허문 뒤 안으로 패스를 찔러줬고 이것이 젤케를 거쳐 마이어의 슈팅으로 이어졌다. 하지만 수비벽에 맞고 튕겨 나왔다. 이후 경기는 소강상태에 접어 들었고 전반은 득점없이 끝났다.후반 7분 멕시코가 선제골로 균형을 깼다. 코너킥에서 페랄타가 헤딩으로 골망을 갈랐다. 반격에 나선 독일은 6분 만에 동점골로 응수했다. 쥘레의 전진패스를 받은 나브리가 박스 안에서 오른발  감아차기 슈팅으로 득점에 성공했다.1-1의 균형은 오래가지 않았다. 다시 멕시코가 앞서갔다. 후반 16분 부에노의 헤딩이 독일 크로스바를 때리고 나오자 문전에 있던 피사로가 재차 밀어 넣었다. 경기는 더욱 뜨거워졌다. 독일이 만회골을 넣기 위해 공격의 강도를 높였다. 그러자 멕시코는 역습으로 뒷공간을 공략했다.독일이 후반 33분 동점골로 다시 승부를 원점으로 돌렸다. 코너킥 상황에서 긴터가 헤딩으로 멕시코 골문을 열었다. 공방전은 계속됐다. 양 팀은 결승골을 터트리기 위해 교체 카드를 사용했다. 하지만 더 이상 추가골은 나오지 않았고 경기는 2-2 무승부로 마무리됐다.[사진 = 곽경훈 기자 kphoto@mydaily.co.kr](사우바도르 = 안경남 기자 knan0422@mydaily.co.kr) 기사 제보 및 보도자료 press@mydaily.co.kr사진 및 기사 구매 contents@mydaily.co.kr- NO.1 뉴미디어 실시간 뉴스 마이데일리(www.mydaily.co.kr) 저작권자 ⓒ 마이데일리. 무단전재&재배포 금지 -
						
						
						
						
						기사제공 마이데일리
사우바도르 = 안경남 기자 knan0422@mydaily.co.kr







Copyright ⓒ 마이데일리. All rights reserved. 무단 전재 및 재배포 금지.



기사 섹션 분류 가이드

기사 섹션 분류 안내
스포츠 기사 섹션(종목) 정보는 언론사 분류와 기술 기반의 자동 분류 시스템을 따르고 있습니다. 오분류에 대한 건은 네이버스포츠로 제보 부탁드립니다.
오분류 제보하기
가이드 닫기"
[최훈 카툰] 1등과 2등사이,2016.08.05,최훈카툰,최훈 카툰,"기사제공 최훈 카툰
최훈카툰







Copyright ⓒ 최훈 카툰. All rights reserved. 무단 전재 및 재배포 금지.



기사 섹션 분류 가이드

기사 섹션 분류 안내
스포츠 기사 섹션(종목) 정보는 언론사 분류와 기술 기반의 자동 분류 시스템을 따르고 있습니다. 오분류에 대한 건은 네이버스포츠로 제보 부탁드립니다.
오분류 제보하기
가이드 닫기"
[야덕일지] 이의 있습니다! 역전 합의판정,2016.08.05,야덕일지,네이버스포츠,"야덕일지







Copyright ⓒ 네이버스포츠. All rights reserved. 무단 전재 및 재배포 금지.



기사 섹션 분류 가이드

기사 섹션 분류 안내
스포츠 기사 섹션(종목) 정보는 언론사 분류와 기술 기반의 자동 분류 시스템을 따르고 있습니다. 오분류에 대한 건은 네이버스포츠로 제보 부탁드립니다.
오분류 제보하기
가이드 닫기"
"'오승환 극찬' 美 지역지, ""STL, 구원자를 얻었다""",2016.08.05,고유라,OSEN,"[OSEN=고유라 기자] 세인트루이스 카디널스 우완 투수 오승환이 미국 현지의 신뢰를 얻고 있다.오승환은 지난 4일(이하 한국시간) 신시내티 레즈전에서 9회를 1이닝 1피안타 1탈삼진 무실점으로 막고 팀의 5-4 승리를 지키며 시즌 8세이브를 거뒀다. 평균자책점은 2.14에서 2.10으로 떨어졌다. 팀은 3연패에서 탈출했다.이날 그의 등판은 팀에도 그에게도 모두 중요했다. 바로 전날(3일) 신시내티전에서 불펜이 흔들렸던 세인트루이스는 오승환이 8회 무사 만루에 등판해 완벽하게 막았지만 9회 1사 1,2루에서 끝내기 스리런을 맞고 5-7 패배를 허용했기 때문. 오승환은 신시내티를 상대로 바로 설욕에 성공했다.4일 경기 후 세인트루이스 지역지인 '세인트루이스 포스트 디스패치'는 ""세인트루이스는 구원자를 얻었다""라는 제목의 기사에서 오승환의 사진을 가장 크게 실어 그의 활약을 강조했다. 사진 속 오승환은 경기를 마친 뒤 포수 야디어 몰리나와 세리머니를 하며 승리를 만끽했다.데릭 굴드 기자는  ""잭 듀크는 '불펜투수는 좋은 일이든 싫은 일이든 빨리 잊어버려야 한다고 했지만 오승환의 생각은 달랐다. 그는 '어제 경기(끝내기패)는 잊어버려선 안된다'고 말했고 오늘(4일) 경기는 특히 기억할 가치가 있었다""고 전했다.이 매체는 ""오승환을 비롯한 세인트루이스의 셋업맨들은 전날과 달리 1점차 리드를 완벽하게 지켰다. 오승환은 팀의 3이닝 연속 무실점을 완성했다. 안타를 맞았지만 타일러 홀트를 삼진 처리하며 메이저리그 8번째 세이브를 달성했다""고 설명했다. 마이크 매서니 감독은 ""그들은 경기 후반을 지웠다. 매우 좋은 활약이었다""고 칭찬했다.오승환은 경기 후 인터뷰에서 ""같은 일이 반복되지 않아 다행""이라고 웃었다. 이 매체는 오승환에 대해 ""세 개의 나라에서 350차례가 넘는 세이브를 수확한 우완 클로저""라고 강조하며 그의 활약에 대한 신뢰도를 표현했다. /autumnbb@osen.co.kr[사진] ⓒAFPBBNews = News1(무단전재 및 재배포 금지)
기사제공 OSEN
고유라







Copyright ⓒ OSEN. All rights reserved. 무단 전재 및 재배포 금지.



기사 섹션 분류 가이드

기사 섹션 분류 안내
스포츠 기사 섹션(종목) 정보는 언론사 분류와 기술 기반의 자동 분류 시스템을 따르고 있습니다. 오분류에 대한 건은 네이버스포츠로 제보 부탁드립니다.
오분류 제보하기
가이드 닫기"
"김현수, 4호 홈런 포함 멀티히트… 추신수도 복귀전 2안타 (종합)",2016.08.05,고동현 기자 kodori@mydaily.co.kr,마이데일리,"[마이데일리 = 고동현 기자] 김현수와 추신수가 같은 경기에 출전해 나란히 맹타를 휘둘렀다.김현수(볼티모어 오리올스)는 5일(이하 한국시각) 미국 메릴랜드주 볼티모어 캠든야즈에서 열린 미 프로야구 메이저리그 텍사스 레인저스와의 경기에 2번 타자 좌익수로 선발 출장, 홈런 포함 4타수 2안타 1타점 1득점 2삼진을 기록했다.이날 결과로 김현수는 7경기 연속 안타 행진을 이어갔다. 시즌 타율도 .331에서 .335로 높였다.허리 부상을 털고 텍사스의 1번 타자 우익수로 선발 출장한 추신수는 5타수 2안타 1득점 2삼진을 남겼다. 시즌 타율은 .260에서 .266로 올라갔다.이날 김현수의 출발은 좋지 않았다. 상대 선발 A. J. 그리핀을 상대로 첫 타석에 이어 두 번째 타석에서도 삼진으로 물러났다.세 번째 타석은 달랐다. 팀이 2-4로 뒤진 6회말 선두타자로 등장, 그리핀의 체인지업을 잡아당겨 오른쪽 담장을 넘어가는 솔로홈런을 터뜨렸다. 7월 1일 시애틀 매리너스전 이후 처음 터진 홈런이자 시즌 4호 홈런.김현수는 8회말 네 번째 타석에서 맷 부시를 상대로 중전안타를 때리며 멀티히트를 완성했다.경기 중반부터 강한 인상을 남긴 김현수와 달리 추신수는 초반 맹타를 휘둘렀다. 1회초 선두타자로 상대 선발 웨이드 마일리와 만난 추신수는 볼카운트 3-1에서 5구째를 때려 중견수 방면 2루타를 날렸다.여기에 만족하지 않았다. 3회초 두 번째 타석에서는 2루수 땅볼로 물러났지만 5회초 세 번째 타석에 나서 깨끗한 중전안타를 기록했다. 부상 복귀전에서 멀티히트를 달성한 것.이후 두 타석은 아쉬움이 남았다. 7회초에 이어 9회초 타석에서도 삼진으로 물러났다.한편, 경기에서는 텍사스가 웃었다. 텍사스는 5-3으로 승리하며 2연패를 끊었다. 시즌 성적 63승 46패. 반면 볼티모어는 3연승을 마감하며 시즌 성적 61승 46패가 됐다.[김현수(첫 번째 사진), 추신수(두 번째 사진). 사진=AFPBBNEWS, 마이데일리DB](고동현 기자 kodori@mydaily.co.kr) 기사 제보 및 보도자료 press@mydaily.co.kr사진 및 기사 구매 contents@mydaily.co.kr- NO.1 뉴미디어 실시간 뉴스 마이데일리(www.mydaily.co.kr) 저작권자 ⓒ 마이데일리. 무단전재&재배포 금지 -
						
						
						
						
						기사제공 마이데일리
고동현 기자 kodori@mydaily.co.kr







Copyright ⓒ 마이데일리. All rights reserved. 무단 전재 및 재배포 금지.



기사 섹션 분류 가이드

기사 섹션 분류 안내
스포츠 기사 섹션(종목) 정보는 언론사 분류와 기술 기반의 자동 분류 시스템을 따르고 있습니다. 오분류에 대한 건은 네이버스포츠로 제보 부탁드립니다.
오분류 제보하기
가이드 닫기"
[리우] 노는 '물'이 다른 2624억원짜리 NBA 드림팀,2016.08.05,리우(브라질)=CBS노컷뉴스 박세운 기자,노컷뉴스,"[리우(브라질)=CBS노컷뉴스 박세운 기자]5일 브라질 리우데자네이루 메인프레스센터(MPC)에서 미국 남자농구 대표팀의 공식 기자회견이 열렸다 (사진=노컷뉴스)'드림팀'이 2016 리우올림픽 메인프레스센터(MPC)에 등장했다. 올림픽이 열릴 때마다 대회 조직위원회는 전세계 팬들의 주목을 받는 스타나 팀을 MPC에 초청해 전세계 미디어를 대상으로 기자회견을 개최한다. 그 단골손님 중 하나가 미국 남자농구 대표팀이다.2016 리우올림픽 대표팀에게 '드림팀'이라는 표현은 어울리지 않는다. 르브론 제임스와 스테판 커리 등 미국프로농구(NBA)를 대표하는 최정상급 선수들 일부가 빠졌다. 또 '드림팀'이라는 표현은 마이클 조던, 매직 존슨, 래리 버드 등 NBA 선수들이 처음으로 올림픽에 출전했던 1992년 대표팀에게만 어울린다는 의견도 꽤 많다.그러나 올해 미국 대표팀은 다른 의미에서 '드림팀'이다.미국 남자농구 대표팀의 숙소가 브라질 리우데자네이루에서 화제를 모으고 있다. 그들은 선수촌 입촌을 거부했다. 대신 바다 위에 선수촌을 꾸렸다. '실버 클라우드 호'로 불리는 초호화 크루즈 유람선을 해변에 정박해두고 숙소로 사용한다. NBA 소속 스타들은 일주일 사용료가 1만3천달러(약 1449만원)인 고급 스위트룸에서 머문다. 미국 여자농구 대표팀 역시 '실버 클라우드 호'에서 숙소를 꾸렸다. 경호 인력만 200명이 넘고 공항 검색대 수준의 보안 시설을 갖췄다.왜 그들은 남들처럼 선수촌에 입촌하지 않은 것일까.미국농구 국가대표 위원회의 크레이그 밀러 대변인은 최근 AP통신과의 인터뷰에서 ""올림픽 선수촌을 사용하지 않는 것은 선수촌 입촌이 우리가 대회를 준비하는 최선의 방법이 아니라고 생각하기 때문이다. 길었던 프로농구 시즌을 마친 선수들은 가급적 친구, 가족들과 더 많은 시간을 보내고 싶어한다""고 말했다.미국 남자농구 대표팀은 1992년 바르셀로나 올림픽 때부터 올림픽 선수촌을 이용하지 않았다. 주로 고급 호텔을 숙소로 이용했다. 카이리 어빙은 이날 기자회견에서 ""초호화 여객선이라기보다는 남녀 대표팀 선수들과 코칭스태프들만을 위한 공간의 개념""이라며 가족, 친구들과 함께 올림픽을 즐길 수 있다며 좋아했다.올해 대표팀은 또다른 의미에서 '드림팀'이다. 역대 미국 농구 대표팀 가운데 몸값이 가장 비싸다.대표팀 12명의 2016-2017시즌 연봉 총액은 2억3537만8719달러. 약 2624억19만5941원이다.코비 브라이언트, 르브론 제임스 등이 뛰었던 4년 전 런던올림픽 대표팀의 몸값 총액은 2억달러에 미치지 못했다. 최근 NBA에서의 '연봉 인플레' 현상을 감안하더라도 놀라운 금액이다.만약 미국이 우승한다면 카멜로 앤서니는 올림픽 남자농구에서 3개의 금메달을 수확하는 최초의 선수가 된다. 그는 2004년 아테네 대회에서 동메달을 땄고 2008년 베이징, 2012년 런던에서는 금메달을 목에 걸었다.앤서니는 ""4번이나 미국을 대표해 올림픽 무대에 서게 돼 영광스럽다. 팀을 금메달로 이끄는 것이 목표다. 도전을 즐기겠다""고 각오를 밝혔다.shen@cbs.co.kr저작권자 © CBS 노컷뉴스(www.nocutnews.co.kr) 무단전재 및 재배포 금지 
기사제공 노컷뉴스
리우(브라질)=CBS노컷뉴스 박세운 기자







박세운 기자


구독



박세운 기자의 구독을 취소하시겠습니까?구독에서 해당 기자의 기사가 제외됩니다.

예
아니오

닫기






구독자
-


응원수
-







쿠에바스 성공 비결? 고집을 버렸다 ""이제는 직구 사인 내도 거절해""


""1할 타자가 MVP라니"" 박경수, LG 만년 유망주에서 KT 영웅으로









Copyright ⓒ 노컷뉴스. All rights reserved. 무단 전재 및 재배포 금지.



기사 섹션 분류 가이드

기사 섹션 분류 안내
스포츠 기사 섹션(종목) 정보는 언론사 분류와 기술 기반의 자동 분류 시스템을 따르고 있습니다. 오분류에 대한 건은 네이버스포츠로 제보 부탁드립니다.
오분류 제보하기
가이드 닫기"
