title,date,content
"세계대회 향해 훈련 매진, 다시 도마 앞으로 돌아간 신재환",2021-09-09,"▲ 신재환이 지난달 2일 일본 아리아케 체조경기장에서 열린 도쿄올림픽 기계체조 도마 결선에서 착지하고 있다. 도쿄 연합뉴스


도쿄올림픽에서 한국의 마지막 금메달을 딴 신재환(23·제천시청)은 올림픽 이후 신분이 180도 바뀌었다. 방송가에서는 러브콜이 쏟아졌고 신재환은 외부 일정에 정신없는 날을 보냈다. 그러나 언제까지 체조 바깥에 머물 수는 없는 일. 신재환은 “초심을 잃지 않겠다”고 다짐하며 다시 본업 모드로 돌아갔다.바쁜 외부 활동을 마친 신재환은 지난 7일 진천선수촌에 다시 입촌했다. 오는 10월 일본 기타큐슈에서 열리는 세계선수권대회를 준비하기 위해서다. 3일 연락이 닿은 신재환은 “본업이 운동선수니까 운동에만 집중하려고 한다”며 본분을 되새겼다.신재환은 충북 청주의 율량초등학교를 다니다가 남들보다 늦은 초등학교 5학년 때 체조를 시작했다. 늦게 시작한 만큼 누구보다 독하게 훈련했다. 신재환은 “좌우명이 ‘하루하루 후회 없이 하자’인데 오늘 성과가 마음에 들었는지 늘 복기하며 연습을 후회 없이 했다”고 말했다.그러나 선수 생활은 순탄하지 않았다. 특히 고등학생 때 허리 디스크 수술을 받으면서 큰 위기에 처했다. 올림픽 당시 “그 얘긴 하고 싶지 않다”고 했던 신재환은 “MRI도 찍어봤는데 괜찮다고 했다. 앞으로 대회 준비하는 데 문제는 없다”고 말했다.





▲ 금메달을 들고 기념촬영하는 신재환. 도쿄 연합뉴스


신재환은 올림픽 금메달을 결코 자신의 능력으로 돌리지 않았다. 신재환은 “내가 잘한 게 아니고 코치 선생님, 선수촌 감독, 코치 선생님, 한체대 교수님 등등 주위에서 많은 도움을 주신 덕분에 운이 좋았다”면서 “지역에서 운동하고 싶었는데 없는 TO를 만들어주신 제천시청 이광연 감독님도 감사하다”고 했다. 충북에는 제천시청밖에 체조팀이 없는데 그나마도 여자팀이라 신재환을 위해 이 감독이 어렵게 자리를 만들었다.바로 3년 뒤 올림픽이 열리는 만큼 신재환이 기량만 유지한다면 메달 가능성도 충분하다. 그러나 신재환은 “그런 건 함부로 말하면 안 된다”면서 “출전을 목표로 하겠다”고 몸을 낮췄다. 오히려 신재환은 “항상 초심을 잃지 않고 훈련에만 매진할 수 있도록 노력하겠다”고 다짐했다.






2012년 런던올림픽 도마 금메달리스트 양학선(29·수원시청)을 보고 꿈을 키운 신재환은 ‘신재환 키즈’에 대한 기대감도 나타냈다. 신재환은 “밥줄을 끊어먹을 수도 있겠지만 그래도 신재환 키즈가 생기면 좋을 것 같다”면서 “기회가 올 때마다 항상 세게 잡았는데 후배들도 기회가 왔을 때 잘 잡고 하루하루 후회 없이 사는 걸 목표로 했으면 좋겠다”고 당부했다.류재민 기자 phoem@seoul.co.kr"
"도쿄 패럴림픽, 13일 열전 끝 마무리...韓 종합순위 41위",2021-09-06,"▲ [패럴림픽] 대회를 마치며5일 오후 일본 도쿄 신주쿠의 국립경기장(올림픽 스타디움)에서 열린 2020 도쿄 패럴림픽 폐막식 공연에서 불꽃이 터지고 있다. 2021.9.5 연합뉴스


13일 동안 진행된 2020 도쿄 패럴림픽(장애인올림픽)이 마무리됐다.지난달 24일 개막한 도쿄 패럴림픽은 5일 오후 8시 일본 도쿄 신주쿠의 국립경기장(올림픽 스타디움)에서 열리는 폐회식을 끝으로 막을 내렸다.지난해 치러질 계획이었던 2020 도쿄 패럴림픽은 신종 코로나바이러스 감염증(코로나19) 여파로 올림픽과 함께 1년 연기돼 치러졌다. 이번 패럴림픽에서는 난민팀을 포함해 163개국 4400여 명의 선수들이 투혼을 펼쳤다.폐회식의 주제는 ‘조화로운 불협화음’(Harmonious Cacophony)으로, ‘다름이 빛나는 도시’(A City Where Differences Shine)의 콘셉트를 선보였다.대회 조직위원회는 “처음에는 불협화음으로 보이는 것은 사실 새로운 조화의 탄생이다. 차이는 갈등이 아니라 새로운 미래로의 도약을 의미한다”고 의미를 설명했다.






관중 없이 진행된 폐회식에는 아키시노 노미야 후미히토 왕세제와 앤드루 파슨스 국제패럴림픽위원회(IPC) 위원장 등이 참석했다.





▲ [패럴림픽] 패럴림픽 폐막식, 대한민국 입장5일 오후 일본 도쿄 신주쿠의 국립경기장(올림픽 스타디움)에서 열린 2020 도쿄 패럴림픽 폐막식에서 보치아 페어에서 금메달을 획득한 정호원이 태극기를 들고 대한민국 선수단과 함께 입장하고 있다.   2021.9.5 연합뉴스


이날 한국 선수단은 일본 히라가나 순서에 따라 80번째로 입장했다. 주원홍 선수단장을 포함해 24명의 선수단이 폐회식에 참석했다. 기수는 보치아 페어에서 금메달을 획득한 정호원(35·강원도장애인체육회)이 맡았다.경기 일정이 끝나면 48시간 이내에 귀국해야 한다는 이번 대회 규정에 따라 대다수의 선수들은 귀국한 상태다.이번 대회 14개 종목에 159명(선수 86명·임원 73명)의 선수단을 파견한 한국은 금메달 2개, 은메달 10개, 동메달 12개로 종합순위 41위를 기록했다.종합 1위는 중국(금 96개·은 60개·동 51개)이 차지했고, 개최국 일본은 11위(금 13개·은 15개·동 23개)를 기록했다.선수단 입장에 이어 ‘아임파서블 어워드’(I‘m Possible Award) 시상식이 진행됐다. IPC의 ’아임파서블‘ 교육 프로그램을 가장 잘 이수한 일본 학교 2개와 해외 학교 1개, 그리고 패럴림픽 남녀 선수 1명씩이 상을 받았다.남자 선수로는 잠비아 장애인 체육 발전에 기여한 육상 선수 출신 라삼 카통고(잠비아)가, 여자 선수는 2006년 토리노 동계 패럴림픽 크로스컨트리 2관왕인 카타르지나 로고비치(폴란드)가 선정됐다. 이들은 장애인 체육을 위해 힘쓴 공로를 인정받았다.최고의 개최국 학교상은 키사라즈 시립 키요미다이 초등학교가, 우수 개최국 학교상은 지바현 토가네 특수교육학교가 받았고, 최고의 해외 학교상은 말라위의 릴동웨 LEA 학교가 받았다.대회 일정 마무리와 함께 패럴림픽기는 2024년 다음 대회를 개최하는 프랑스의 파리 시장에게 전달됐다.임효진 기자 3a5a7a6a@seoul.co.kr"
"‘원팀’ 한국 보치아, 9연패 기적을 쓰다… 굿바이! 도쿄패럴림픽",2021-09-06,"▲ ‘원팀’ 한국 보치아, 9연패 기적을 쓰다… 굿바이! 도쿄패럴림픽한국 보치아 대표팀의 최예진(위)이 지난 4일 일본 도쿄 아리아케 체조경기장에서 열린 2020 도쿄패럴림픽 보치아 페어(BC3) 결승전에서 연장 접전 끝에 일본을 누르고 금메달을 따낸 뒤 헹가래를 받고 있다. 2016년 리우 대회 때 은메달을 따냈던 최예진과 정호원, 김한수는 5년 만에 다시 짝을 이뤄 한국 보치아의 9회 연속 패럴림픽 금메달을 일궈 냈다.한국 선수단은 5일까지 금메달 2개, 은메달 10개, 동메달 12개를 획득해 종합 41위로 이번 대회를 마무리했다. 당초 금메달 4개 등 종합 20위를 목표로 했지만 아쉽게 달성하지 못했다. 1968년 텔아비브 대회 이후 가장 낮은 순위다. 이번 대회를 통해 평균 연령 40대의 고령화된 선수단을 젊은 선수단으로 바꾸는 세대교체의 필요성을 절감했다. 이날 폐막한 도쿄패럴림픽은 3년 뒤인 2024년 파리패럴림픽에서 다시 만날 것을 기약했다.도쿄패럴림픽 사진공동취재단


한국 보치아 대표팀의 최예진(위)이 지난 4일 일본 도쿄 아리아케 체조경기장에서 열린 2020 도쿄패럴림픽 보치아 페어(BC3) 결승전에서 연장 접전 끝에 일본을 누르고 금메달을 따낸 뒤 헹가래를 받고 있다. 2016년 리우 대회 때 은메달을 따냈던 최예진과 정호원, 김한수는 5년 만에 다시 짝을 이뤄 한국 보치아의 9회 연속 패럴림픽 금메달을 일궈 냈다.한국 선수단은 5일까지 금메달 2개, 은메달 10개, 동메달 12개를 획득해 종합 41위로 이번 대회를 마무리했다. 당초 금메달 4개 등 종합 20위를 목표로 했지만 아쉽게 달성하지 못했다. 1968년 텔아비브 대회 이후 가장 낮은 순위다. 이번 대회를 통해 평균 연령 40대의 고령화된 선수단을 젊은 선수단으로 바꾸는 세대교체의 필요성을 절감했다. 이날 폐막한 도쿄패럴림픽은 3년 뒤인 2024년 파리패럴림픽에서 다시 만날 것을 기약했다.도쿄패럴림픽 사진공동취재단"
끝날 때까지 끝나지 않은 ‘도쿄의 투혼’,2021-09-06,"패럴림픽 13일간의 열전 마무리 
한국, 金 2·銀 10·銅 12개로 종합 41위보치아 9연속 金… 배드민턴 銀 2개 추가 탁구 금은동 싹쓸이 역사적 장면 연출최다 메달 걸린 수영·육상 빈손 아쉬워





▲ 아름다운 웃음한국 배드민턴 대표팀의 김정준-이동섭 조가 5일 일본 도쿄 요요기 국립경기장에서 열린 2020 도쿄패럴림픽 남자 복식(WH) 결승전에서 중국 마이젠펑-취쯔모 조에게 0-2로 패해 은메달을 차지한 뒤 서로를 격려하고 있다.연합뉴스


13일간의 열전을 벌인 한국 선수단이 금메달 2개, 은메달 10개, 동메달 12개 종합 41위로 2020 도쿄패럴림픽을 마쳤다. 불굴의 투지로 대회 막판 뒷심을 보여줬지만 목표했던 종합 20위에는 미치지 못했다.한국은 대회 마지막 날인 5일 배드민턴에서 2개의 은메달을 끝으로 메달 사냥을 마쳤다. 단식에서 김정준(43·울산중구청), 복식에서 김정준과 이동섭(50·제주도)이 은메달을 획득했다. 이번 대회 첫 정식 종목이 된 배드민턴은 전날에도 이삼섭(51·울산중구청)이 은메달, 이동섭이 동메달을 획득해 전략 종목으로서의 가능성을 보여줬다.





▲ 아름다운 질주한국 장애인 육상의 간판 유병훈이 5일 도쿄 신주쿠 국립경기장에서 열린 육상 남자 마라톤(T54)에서 역주하고 있는 모습. 이번 대회 단거리, 장거리를 아랑곳하지 않고 출전한 유병훈은 이날 전체 15명 중 14위에 올랐지만 마라톤 첫 도전에 완주하는 성과를 냈다.대한장애인체육회 제공


이번 대회에서 빛난 종목으로 탁구와 보치아가 꼽힌다. 탁구는 금 1개, 은 6개, 동 6개로 한국 전체 메달 24개 중 절반 이상을 차지했다. 특히 스포츠등급 TT1에서는 금, 은, 동을 모두 따내는 역사적인 장면도 만들어냈다.세계 최강 보치아는 4일 정호원(35·강원도장애인체육회)과 최예진(30·충청남도), 김한수(29·경기도)가 페어에서 패럴림픽 9회 연속 금메달의 금자탑을 쌓으며 ‘올림픽은 양궁, 패럴림픽은 보치아’의 공식을 지켰다.선수들이 보여준 투지만으로도 충분히 박수받을 대회였지만 1968년 처음 출전한 텔아비브 대회 이후 53년 만에 가장 순위가 낮아 미래에 대한 대비가 중요해졌다. 2012년 런던 12위(금 9개, 은 9개, 동 9개), 2016년 리우 20위(금 7개, 은 11개, 동 17개)와 비교하면 하락세를 확인할 수 있다.






특히 가장 많은 메달이 걸린 수영, 육상에서 단 한 개의 메달도 나오지 않은 점은 아쉬웠다. 양궁은 텔아비브 대회 이후 53년 만에 메달을 따지 못했다. 주원홍(65·대한장애인테니스협회장) 선수단장은 “늘 듣던 이야기가 저변 확대와 신인 발굴이다. 그런데 실제로 어떻게 해야 하는지 대해선 크게 와 닿는 정책이 없었던 것 같다”며 “이번 패럴림픽을 계기로 돌아가서 제대로 된 방향을 정해야 할 것”이라고 했다.한국 선수 85명의 평균 나이는 40.5세로 도쿄패럴림픽에 선수를 15명 넘게 보낸 국가 중 평균 연령이 가장 높다. 이번 대회에서 희망을 보여준 패럴림픽 차세대 주자들의 역할이 중요하다.2000년 시드니패럴림픽 사격 금메달리스트인 정진완 대한장애인체육회장은 “그동안 대한체육회의 비장애인 시스템을 막연하게 따라간 부분이 있다”며 “어리고 가능성 있는 선수들을 집중 육성, 지원하고 현재의 일률적인 국가대표 훈련 시스템을 바꿔야 한다”고 말했다.한국은 이날 올림픽 스타디움에서 열린 폐막식에서 일본 히라가나 순서에 따라 80번째로 입장했다. 주 단장을 포함해 24명의 선수단이 참가했다. 기수는 보치아 페어에서 금메달을 딴 정호원이 맡아 13일간 뜨거웠던 대회의 대단원을 장식했다.도쿄 패럴림픽공동취재단·류재민 기자 phoem@seoul.co.kr"
[포토] 대회를 마치며,2021-09-05,"5일 오후 일본 도쿄 신주쿠의 국립경기장(올림픽 스타디움)에서 열린 2020 도쿄 패럴림픽 폐막식 공연에서 불꽃이 터지고 있다.






연합뉴스"
[포토] 배드민턴 남자복식 은메달 획득,2021-09-05,"5일 일본 도쿄 요요기국제경기장에서 열린 도쿄 패럴림픽 배드민턴 남자복식(WH)에서 은메달을 딴 대한민국 김정준(왼쪽) 이동섭이 시상식에서 메달을 들어보이고 있다.






도쿄 사진공동취재단"
[포토] 은메달 들어보이는 김정준,2021-09-05,"5일 일본 도쿄 요요기국제경기장에서 열린 도쿄 패럴림픽 배드민턴 남자단식(WH2)에서 은메달을 딴 김정준이 시상식에서 메달을 들어보이고 있다.






도쿄 사진공동취재단"
"‘사격 동메달’ 심영집 “9년 만에 첫 메달 기뻐, 사격은 제 인생”",2021-09-03,"소총3자세 총점 442.2점으로 3위 
운전 중 낭떠러지 추락으로 척수 장애 불운2003년 탁구 선수 활동 중 권유로 사격 시작“‘욕심 부리지 말고 훈련만큼 하자’ 마음다져”런던 올림픽 때 막판 한발 실수로 메달 놓쳐“늘 응원해준 부모님께 메달로 보답해 기뻐”









▲ [패럴림픽]한발 한발3일 오후 일본 사이타마현 아사카 사격장에서 열린 2020 도쿄 패럴림픽 사격 R7 남자 50m 소총 3자세(SH1) 결선에서 동메달을 획득한 대한민국 심영집이 탄피를 제거하고 있다.  2021.9.3 연합뉴스








▲ [패럴림픽]손흔드는 심영집3일 오후 일본 사이타마현 아사카 사격장에서 열린 2020 도쿄 패럴림픽 사격 R7 남자 50m 소총 3자세(SH1) 결선에서 동메달을 획득한 대한민국 심영집이 손을 흔들고 있다.   2021.9.3 연합뉴스


한국 장애인 사격 대표팀의 심영집(48·강릉시청)이 9년 만에 소총3자세에서 메달을 목에 걸고 활짝 웃었다. 심영집은 20여년 전 운전을 하다 낭떠러지에서 추락하는 사고로 인해 척수장애를 갖게 됐지만 고도의 정신력과 의지로 장애를 극복하고 결국 올림픽 메달을 따냈다. 심영집은 경기를 마친 뒤 믹스트존 인터뷰에서 “한발 한발에 집중했다”면서 “9년 만에 나온 패럴림픽에서 메달을 따 기쁘다”고 소감을 밝혔다.“런던 때보다 정신력 강해져한발 한발에 집중하려 했다”심영집은 3일 일본 사이타마현 아사카 사격장에서 열린 2020 도쿄 패럴림픽 사격 R7 남자 50ｍ 소총3자세(스포츠등급 SH1·척수 및 기타장애) 결선에서 총점 442.2점으로 3위를 기록, 동메달을 획득했다.2012년 런던 대회 이후 9년 만의 패럴림픽에 나서 따낸 첫 메달이다.런던 대회 이 종목에서 아쉽게 4위에 그쳤던 그는 9년 만에 나선 이번 도쿄 패럴림픽에서는 기회를 놓치지 않고 자신의 첫 패럴림픽 메달을 거머쥐었다.





▲ [패럴림픽]동메달 든 심영집3일 오후 일본 사이타마현 아사카 사격장에서 열린 2020 도쿄 패럴림픽 사격 R7 남자 50m 소총 3자세(SH1) 시상식에서 동메달을 목에 건 대한민국 심영집이 포즈를 취하고 있다.  2021.9.3연합뉴스


심영집은 이날 오전 예선에서 1161점, 예선 5위로 결선행 티켓을 따냈다.






45발의 총알에 승부가 결정되는 결선, 첫 5발에서 50.4점으로 박진호(44·청주시청)와 공동 4위를 기록한 그는 10번째 총알을 쏜 뒤 102.2점으로 잠시 2위로 올라섰다.이후로는 5∼6위를 오가며 중하위권을 지켰으나 36∼40번째 발사에서 49.5점을 더해 돌연 3위로 도약했고 이어진 단발 사격에서도 순위를 잘 지켜내 최종 3위로 동메달을 거머쥐었다.심영집은 “런던 때 메달을 딸 수 있는 상황에서 막판에 한발을 남기고 실수해 메달을 놓쳤다”면서 “지금은 그때보다 긴장도 덜었고, 정신력도 강해졌다. ‘욕심부리지 말고 훈련한 만큼만 하자’는 마음으로 임했다”고 설명했다.이어 “복사까지 어렵게 갔는데 입사는 욕심부리지 말고 한발 한발 집중하려고 했다. 좋은 결과로 이어진 것 같다”고 했다.









▲ [패럴림픽]집중의 순간3일 오후 일본 사이타마현 아사카 사격장에서 열린 2020 도쿄 패럴림픽 사격 R7 남자 50m 소총 3자세(SH1) 결선에서 동메달을 획득한 대한민국 심영집이 과녁을 조준하고 있다.  2021.9.3 연합뉴스


“제가 가장 좋아하는 사격,오랫동안 하고 싶어요”심영집은 1998년 운전 중 낭떠러지에서 추락하는 사고로 인해 척수장애를 갖게 됐다.2003년 탁구 선수로 활동하던 중 강릉시청의 강주영 감독 권유로 총을 들었고, ‘국가대표 사격선수’가 됐다.그에게 사격은 어떤 의미일까. 심영집은 “사격은 이젠 저의 인생이 됐다. 제가 가장 좋아하는 게 사격이고 앞으로도 오랫동안 할 수 있었으면 좋겠다. 몸 관리를 잘하겠다”고 했다.이어 가장 고마운 존재로 부모님을 꼽으며 “지금도 기도하고 응원해 주신다. 메달로 보답한 것 같아 기쁘다”고 했다.심영집의 메달 도전은 계속된다. 오는 5일 R6 혼성 50ｍ 소총 복사 경기에 나선다.





▲ [패럴림픽]잠시 긴장풀고3일 오후 일본 사이타마현 아사카 사격장에서 열린 2020 도쿄 패럴림픽 사격 R7 남자 50m 소총 3자세(SH1) 결선에서 동메달을 획득한 대한민국 심영집이 잠시 생각에 잠겨있다.    2021.9.3.연합뉴스


결선 첫 5발 1위 ‘명중’ 주성철 6위“패럴림픽서 예선 신기록 쏜 데 의미”한편 이날 결선에는 박진호와 주성철(45·경기도장애인체육회)까지 세 명의 한국 선수가 진출했다.주성철은 “선수들과 (시상식에서) 태극기 세 개를 올리자는 이야기를 했었다. 정상에서 만나자고 했다”고 했다.하지만 박진호는 421.7점으로 5위, 주성철은 412.3점으로 6위를 기록해 메달권에는 들지 못했다.주성철은 결선 첫 5발에서 1위(51.3점)를 기록한 뒤 35발을 쏠 때까지 1∼3위로 선두권을 달렸으나, 36번째 발이 7.8점으로 크게 흔들리고 39번째 총알도 8.4점을 맞추면서 6위로 급격히 순위가 떨어졌다.주성철은 “잘하다가 강직이 와서 7점대를 쏘고 하위권으로 떨어졌다. 아쉽다. 다리가 떨리고 움직이면 쏘는 순간에 (총알이) 엉뚱한 곳으로 간다. 강직이라는 게 약으로 해결되는 부분이 아닌데 방법을 더 찾아야 할 것 같다”고 아쉬움을 드러냈다.그러면서도 “패럴림픽에서 예선 신기록을 쏜 건 큰 의미가 있다. 다음 패럴림픽에도 나갈 수 있는 발판을 마련한 계기가 됐다”며 힘차게 다음을 기약했다.





















▲ 동메달 획득한 사격 심영집3일 일본 사이타마현 아사카 사격장에서 열린 2020 도쿄 패럴림픽 사격 R7 남자 50m 소총 3자세(SH1) 결선에서 동메달을 획득한 대한민국 심영집이 손을 들고 있다. 대한장애인체육회 제공 2021.9.3


강주리 기자 jurik@seoul.co.kr"
[포토] 동메달 든 심영집,2021-09-03,"3일 오후 일본 사이타마현 아사카 사격장에서 열린 2020 도쿄 패럴림픽 사격 R7 남자 50m 소총 3자세(SH1) 시상식에서 동메달을 목에 건 대한민국 심영집이 포즈를 취하고 있다.






연합뉴스"
아프간 탈출 쿠다다디 ‘희망의 발차기’,2021-09-03,"▲ 아프간 탈출 쿠다다디 ‘희망의 발차기’2020도쿄패럴림픽 출전을 위해 자국을 극적으로 탈출한 아프가니스탄의 자키아 쿠다다디(오른쪽)가 2일 일본 지바현 마쿠하리 메세 B홀에서 열린 대회 태권도 여자 49㎏급(K44) 16강전에서 지요다콘 이자코바(우즈베키스탄)와 발차기를 교환하고 있다. 2004년 아테네 대회 육상의 마리나 카림에 이어 아프간 두 번째 여성 패럴림픽 선수가 된 그는 이날 경기에는 졌지만 승리보다 아름다운 발차기로 혼란에 빠진 조국 아프간에 희망을, 전 세계에 감동을 전파했다.도쿄 사진공동취재단


2020도쿄패럴림픽 출전을 위해 자국을 극적으로 탈출한 아프가니스탄의 자키아 쿠다다디(오른쪽)가 2일 일본 지바현 마쿠하리 메세 B홀에서 열린 대회 태권도 여자 49㎏급(K44) 16강전에서 지요다콘 이자코바(우즈베키스탄)와 발차기를 교환하고 있다. 2004년 아테네 대회 육상의 마리나 카림에 이어 아프간 두 번째 여성 패럴림픽 선수가 된 그는 이날 경기에는 졌지만 승리보다 아름다운 발차기로 혼란에 빠진 조국 아프간에 희망을, 전 세계에 감동을 전파했다.도쿄 사진공동취재단"
